replication,NMREQ,NMSTA_case,FMSTA_case,NSYRQ_total,NSYST_total_case,MTREQ,MTACC_case,MTF_case,STREQ,STACC,STF,completed_flight_windows,full_flight_window_rate,preparation_aircraft_hours,flight_gap_aircraft_hours,healthy_availability,failures,fleet_flight_utilization
1,9,9,1,18,18,18.0,18.0,1,36.0,36.0,1.0,9,1,9.0,0,1.0,0,0.041666666666666664
2,9,9,1,18,18,18.0,18.0,1,36.0,36.0,1.0,9,1,9.0,0,1.0,0,0.041666666666666664
3,9,9,1,18,18,18.0,18.0,1,36.0,36.0,1.0,9,1,9.0,0,1.0,0,0.041666666666666664
4,9,9,1,18,18,18.0,18.0,1,36.0,36.0,1.0,9,1,9.0,0,1.0,0,0.041666666666666664
5,9,9,1,18,18,18.0,18.0,1,36.0,36.0,1.0,9,1,9.0,0,1.0,0,0.041666666666666664
6,9,9,1,18,18,18.0,18.0,1,36.0,36.0,1.0,9,1,9.0,0,1.0,0,0.041666666666666664
7,9,9,1,18,18,18.0,18.0,1,36.0,36.0,1.0,9,1,9.0,0,1.0,0,0.041666666666666664
8,9,9,1,18,18,18.0,18.0,1,36.0,36.0,1.0,9,1,9.0,0,1.0,0,0.041666666666666664
9,9,9,1,18,18,18.0,18.0,1,36.0,36.0,1.0,9,1,9.0,0,1.0,0,0.041666666666666664
10,9,9,1,18,18,18.0,18.0,1,36.0,36.0,1.0,9,1,9.0,0,1.0,0,0.041666666666666664
11,9,9,1,18,18,18.0,18.0,1,36.0,36.0,1.0,9,1,9.0,0,1.0,0,0.041666666666666664
12,9,9,1,18,18,18.0,18.0,1,36.0,36.0,1.0,9,1,9.0,0,1.0,0,0.041666666666666664
13,9,9,1,18,18,18.0,18.0,1,36.0,36.0,1.0,9,1,9.0,0,1.0,0,0.041666666666666664
14,9,9,1,18,18,18.0,18.0,1,36.0,36.0,1.0,9,1,9.0,0,1.0,0,0.041666666666666664
15,9,9,1,18,18,18.0,18.0,1,36.0,36.0,1.0,9,1,9.0,0,1.0,0,0.041666666666666664
16,9,9,1,18,18,18.0,18.0,1,36.0,36.0,1.0,9,1,9.0,0,1.0,0,0.041666666666666664
17,9,9,1,18,18,18.0,18.0,1,36.0,36.0,1.0,9,1,9.0,0,1.0,0,0.041666666666666664
18,9,9,1,18,18,18.0,18.0,1,36.0,36.0,1.0,9,1,9.0,0,1.0,0,0.041666666666666664
19,9,9,1,18,18,18.0,18.0,1,36.0,36.0,1.0,9,1,9.0,0,1.0,0,0.041666666666666664
20,9,9,1,18,18,18.0,18.0,1,36.0,36.0,1.0,9,1,9.0,0,1.0,0,0.041666666666666664
21,9,9,1,18,18,18.0,18.0,1,36.0,36.0,1.0,9,1,9.0,0,1.0,0,0.041666666666666664
22,9,9,1,18,18,18.0,18.0,1,36.0,36.0,1.0,9,1,9.0,0,1.0,0,0.041666666666666664
23,9,9,1,18,18,18.0,18.0,1,36.0,36.0,1.0,9,1,9.0,0,1.0,0,0.041666666666666664
24,9,9,1,18,18,18.0,18.0,1,36.0,36.0,1.0,9,1,9.0,0,1.0,0,0.041666666666666664
