replication,availability,failures,effective_supply_aircraft_hours,gap_aircraft_hours,actual_aircraft_flight_hours,fulfillment,completion_rate,requested,started,completed,aborted,cancelled,aircraft_sorties,completed_aircraft_sorties,preparation_aircraft_hours,ready_aircraft_hours,all_completed,out_aircraft_hours,on_station_aircraft_hours,return_aircraft_hours,abort_return_aircraft_hours
1,1.0,0,54.0,0.0,54.0,1.0,1.0,9,9,9,0,0,18,18,27.0,681.0,1,9.0,36.0,9.0,0.0
2,1.0,0,54.0,0.0,54.0,1.0,1.0,9,9,9,0,0,18,18,27.0,681.0,1,9.0,36.0,9.0,0.0
3,0.996779354266031,1,48.09634314353518,5.903656856464821,48.19268628707036,0.8906730211765774,0.8888888888888888,9,9,8,1,0,18,16,27.0,684.0728473705482,0,8.09634314353518,32.0,8.09634314353518,0.09634314353517937
4,1.0,0,54.0,0.0,54.0,1.0,1.0,9,9,9,0,0,18,18,27.0,681.0,1,9.0,36.0,9.0,0.0
5,0.9988473620882329,1,52.35264777662344,1.6473522233765578,53.35264777662344,0.9694934773448786,0.8888888888888888,9,9,8,1,0,18,16,27.0,681.1514730676097,0,9.0,35.35264777662344,9.0,1.0
6,0.995344445952725,1,49.50245494542541,4.497545054574587,50.50245494542541,0.9167121286189891,0.8888888888888888,9,9,8,1,0,18,16,27.0,680.975146357729,0,9.0,32.50245494542541,9.0,1.0
7,1.0,0,54.0,0.0,54.0,1.0,1.0,9,9,9,0,0,18,18,27.0,681.0,1,9.0,36.0,9.0,0.0
8,1.0,0,54.0,0.0,54.0,1.0,1.0,9,9,9,0,0,18,18,27.0,681.0,1,9.0,36.0,9.0,0.0
9,0.9979020576404799,1,49.442609485432996,4.557390514567004,50.442609485432996,0.9156038793598703,0.8888888888888888,9,9,8,1,0,18,16,27.0,683.2447683159415,0,9.0,32.442609485432996,9.0,1.0
10,1.0,0,54.0,0.0,54.0,1.0,1.0,9,9,9,0,0,18,18,27.0,681.0,1,9.0,36.0,9.0,0.0
11,0.99882759820142,1,48.84225271240743,5.157747287592571,49.68450542481486,0.9044861613408783,0.8888888888888888,9,9,8,1,0,18,16,27.0,684.7236657774156,0,8.84225271240743,32.0,8.84225271240743,0.8422527124074293
12,0.9962251044609005,1,49.42232236640743,4.577677633592572,50.42232236640743,0.915228191970508,0.8888888888888888,9,9,8,1,0,18,16,27.0,681.8161678878107,0,9.0,32.42232236640743,9.0,1.0
13,1.0,0,54.0,0.0,54.0,1.0,1.0,9,9,9,0,0,18,18,27.0,681.0,1,9.0,36.0,9.0,0.0
14,1.0,0,54.0,0.0,54.0,1.0,1.0,9,9,9,0,0,18,18,27.0,681.0,1,9.0,36.0,9.0,0.0
15,1.0,0,54.0,0.0,54.0,1.0,1.0,9,9,9,0,0,18,18,27.0,681.0,1,9.0,36.0,9.0,0.0
16,1.0,0,54.0,0.0,54.0,1.0,1.0,9,9,9,0,0,18,18,27.0,681.0,1,9.0,36.0,9.0,0.0
17,1.0,0,54.0,0.0,54.0,1.0,1.0,9,9,9,0,0,18,18,27.0,681.0,1,9.0,36.0,9.0,0.0
18,1.0,0,54.0,0.0,54.0,1.0,1.0,9,9,9,0,0,18,18,27.0,681.0,1,9.0,36.0,9.0,0.0
19,0.9980978980790819,1,52.79689508230146,1.2031049176985391,53.79689508230146,0.9777202793018789,0.8888888888888888,9,9,8,1,0,18,16,27.0,680.0596888580253,0,9.0,35.79689508230146,9.0,1.0
20,1.0,0,54.0,0.0,54.0,1.0,1.0,9,9,9,0,0,18,18,27.0,681.0,1,9.0,36.0,9.0,0.0
21,1.0,0,54.0,0.0,54.0,1.0,1.0,9,9,9,0,0,18,18,27.0,681.0,1,9.0,36.0,9.0,0.0
22,0.9973065538361235,1,50.451961679875254,3.5480383201247463,51.451961679875254,0.9342955866643565,0.8888888888888888,9,9,8,1,0,18,16,27.0,681.7209008345355,0,9.0,33.451961679875254,9.0,1.0
23,1.0,0,54.0,0.0,54.0,1.0,1.0,9,9,9,0,0,18,18,27.0,681.0,1,9.0,36.0,9.0,0.0
24,0.9983004213876983,1,49.03723917969222,4.962760820307778,50.03723917969222,0.9080970218461523,0.8888888888888888,9,9,8,1,0,18,16,27.0,683.9943248992791,0,9.0,32.03723917969222,9.0,1.0
25,1.0,0,54.0,0.0,54.0,1.0,1.0,9,9,9,0,0,18,18,27.0,681.0,1,9.0,36.0,9.0,0.0
26,0.9939538985210778,2,45.37034540751607,8.62965459248393,46.7270811926805,0.840191581620668,0.7777777777777778,9,9,7,2,0,18,14,27.0,683.727455022113,0,8.356735785164432,30.013609622351638,8.356735785164432,1.3567357851644317
27,0.9981777592867753,1,49.103796863997346,4.896203136002654,50.103796863997346,0.9093295715555064,0.8888888888888888,9,9,8,1,0,18,16,27.0,683.8217871597766,0,9.0,32.103796863997346,9.0,1.0
28,1.0,0,54.0,0.0,54.0,1.0,1.0,9,9,9,0,0,18,18,27.0,681.0,1,9.0,36.0,9.0,0.0
29,1.0,0,54.0,0.0,54.0,1.0,1.0,9,9,9,0,0,18,18,27.0,681.0,1,9.0,36.0,9.0,0.0
30,1.0,0,54.0,0.0,54.0,1.0,1.0,9,9,9,0,0,18,18,27.0,681.0,1,9.0,36.0,9.0,0.0
31,0.9961757341850956,1,53.311977749963646,0.6880222500363544,54.0,0.987258847221549,0.8888888888888888,9,9,8,1,0,18,16,27.0,678.0398454609408,0,9.0,36.0,9.0,0.6880222500363544
32,0.9987353757376909,1,53.36678593277745,0.6332140672225535,54.0,0.9882738135699527,0.8888888888888888,9,9,8,1,0,18,16,27.0,680.2239716709762,0,9.0,36.0,9.0,0.6332140672225535
33,1.0,0,54.0,0.0,54.0,1.0,1.0,9,9,9,0,0,18,18,27.0,681.0,1,9.0,36.0,9.0,0.0
34,1.0,0,54.0,0.0,54.0,1.0,1.0,9,9,9,0,0,18,18,27.0,681.0,1,9.0,36.0,9.0,0.0
35,0.9990801054578399,1,51.49396347519068,2.5060365248093177,52.49396347519068,0.9535919162072348,0.8888888888888888,9,9,8,1,0,18,16,27.0,682.211247640383,0,9.0,34.49396347519068,9.0,1.0
36,0.9910576710721396,2,49.65715652819815,4.342843471801849,51.65715652819815,0.9195769727444102,0.7777777777777778,9,9,7,2,0,18,14,27.0,676.6166712781305,0,9.0,33.65715652819815,9.0,2.0
37,0.998008629130487,1,49.7477868998307,4.2522131001693,50.7477868998307,0.9212553129598278,0.8888888888888888,9,9,8,1,0,18,16,27.0,683.03166866891,0,9.0,32.7477868998307,9.0,1.0
38,1.0,0,54.0,0.0,54.0,1.0,1.0,9,9,9,0,0,18,18,27.0,681.0,1,9.0,36.0,9.0,0.0
39,1.0,0,54.0,0.0,54.0,1.0,1.0,9,9,9,0,0,18,18,27.0,681.0,1,9.0,36.0,9.0,0.0
40,1.0,0,54.0,0.0,54.0,1.0,1.0,9,9,9,0,0,18,18,27.0,681.0,1,9.0,36.0,9.0,0.0
41,0.9970456186440261,1,49.27349105670814,4.726508943291861,50.27349105670814,0.9124720566057063,0.8888888888888888,9,9,8,1,0,18,16,27.0,682.6739234517304,0,9.0,32.27349105670814,9.0,1.0
42,1.0,0,54.0,0.0,54.0,1.0,1.0,9,9,9,0,0,18,18,27.0,681.0,1,9.0,36.0,9.0,0.0
43,1.0,0,54.0,0.0,54.0,1.0,1.0,9,9,9,0,0,18,18,27.0,681.0,1,9.0,36.0,9.0,0.0
44,1.0,0,54.0,0.0,54.0,1.0,1.0,9,9,9,0,0,18,18,27.0,681.0,1,9.0,36.0,9.0,0.0
45,0.9966534948426594,1,48.086500927770956,5.913499072229044,48.17300185554191,0.8904907579216844,0.8888888888888888,9,9,8,1,0,18,16,27.0,683.9788681524012,0,8.086500927770956,32.0,8.086500927770956,0.08650092777095608
46,0.9960461218587795,2,46.92243001769174,7.077569982308262,48.2124129669665,0.8689338892165137,0.7777777777777778,9,9,7,2,0,18,14,27.0,684.0164277936565,0,8.289982949274759,31.63244706841698,8.289982949274759,1.2899829492747585
47,1.0,0,54.0,0.0,54.0,1.0,1.0,9,9,9,0,0,18,18,27.0,681.0,1,9.0,36.0,9.0,0.0
48,1.0,0,54.0,0.0,54.0,1.0,1.0,9,9,9,0,0,18,18,27.0,681.0,1,9.0,36.0,9.0,0.0
49,1.0,0,54.0,0.0,54.0,1.0,1.0,9,9,9,0,0,18,18,27.0,681.0,1,9.0,36.0,9.0,0.0
50,1.0,0,54.0,0.0,54.0,1.0,1.0,9,9,9,0,0,18,18,27.0,681.0,1,9.0,36.0,9.0,0.0
51,0.9972646491643102,1,48.946352536027135,5.053647463972865,49.89270507205427,0.9064139358523543,0.8888888888888888,9,9,8,1,0,18,16,27.0,683.2171280739233,0,8.946352536027135,32.0,8.946352536027135,0.9463525360271348
52,0.9993751857630395,1,52.870616691075796,1.1293833089242042,53.870616691075796,0.9790854942791815,0.8888888888888888,9,9,8,1,0,18,16,27.0,681.0895438081903,0,9.0,35.870616691075796,9.0,1.0
53,0.9972239768481664,1,50.68113524354702,3.3188647564529816,51.68113524354702,0.938539541547167,0.8888888888888888,9,9,8,1,0,18,16,27.0,681.4203807532688,0,9.0,33.68113524354702,9.0,1.0
54,0.9979174957159773,1,52.92454830960885,1.075451690391148,53.92454830960885,0.9800842279557195,0.8888888888888888,9,9,8,1,0,18,16,27.0,679.7761679889956,0,9.0,35.92454830960885,9.0,1.0
55,0.9975037694504246,2,52.51578507312357,1.484214926876433,53.927854399894244,0.9725145383911772,0.7777777777777778,9,9,7,2,0,18,14,27.0,679.6214370686581,0,9.0,35.927854399894244,9.0,1.412069326770677
56,0.9978682859646816,2,49.8629597954759,4.137040204524098,50.93560447726979,0.9233881443606649,0.7777777777777778,9,9,7,2,0,18,14,27.0,682.758916937112,0,9.0,32.93560447726979,9.0,1.0726446817938893
57,1.0,0,54.0,0.0,54.0,1.0,1.0,9,9,9,0,0,18,18,27.0,681.0,1,9.0,36.0,9.0,0.0
58,0.9991908494259388,1,48.23424459896097,5.76575540103903,48.46848919792194,0.8932267518326106,0.8888888888888888,9,9,8,1,0,18,16,27.0,685.9495270055696,0,8.23424459896097,32.0,8.23424459896097,0.23424459896097005
59,0.9988327894199968,1,49.29091234970147,4.709087650298528,50.29091234970147,0.9127946731426199,0.8888888888888888,9,9,8,1,0,18,16,27.0,684.2006177091757,0,9.0,32.29091234970147,9.0,1.0
60,1.0,0,54.0,0.0,54.0,1.0,1.0,9,9,9,0,0,18,18,27.0,681.0,1,9.0,36.0,9.0,0.0
61,1.0,0,54.0,0.0,54.0,1.0,1.0,9,9,9,0,0,18,18,27.0,681.0,1,9.0,36.0,9.0,0.0
62,1.0,0,54.0,0.0,54.0,1.0,1.0,9,9,9,0,0,18,18,27.0,681.0,1,9.0,36.0,9.0,0.0
63,1.0,0,54.0,0.0,54.0,1.0,1.0,9,9,9,0,0,18,18,27.0,681.0,1,9.0,36.0,9.0,0.0
64,1.0,0,54.0,0.0,54.0,1.0,1.0,9,9,9,0,0,18,18,27.0,681.0,1,9.0,36.0,9.0,0.0
65,1.0,0,54.0,0.0,54.0,1.0,1.0,9,9,9,0,0,18,18,27.0,681.0,1,9.0,36.0,9.0,0.0
66,1.0,0,54.0,0.0,54.0,1.0,1.0,9,9,9,0,0,18,18,27.0,681.0,1,9.0,36.0,9.0,0.0
67,0.9986443898402846,1,50.12785617041378,3.8721438295862214,51.12785617041378,0.9282936327854403,0.8888888888888888,9,9,8,1,0,18,16,27.0,683.2008966515921,0,9.0,33.12785617041378,9.0,1.0
68,1.0,0,54.0,0.0,54.0,1.0,1.0,9,9,9,0,0,18,18,27.0,681.0,1,9.0,36.0,9.0,0.0
69,0.9983742347009416,1,49.4972869490192,4.502713050980802,50.4972869490192,0.916616424981837,0.8888888888888888,9,9,8,1,0,18,16,27.0,683.5980518325943,0,9.0,32.4972869490192,9.0,1.0
70,0.9984037120470027,1,48.67475095293118,5.325249047068823,49.349501905862354,0.9013842769061329,0.8888888888888888,9,9,8,1,0,18,16,27.0,684.6086807792135,0,8.674750952931177,32.0,8.674750952931177,0.674750952931177
71,0.9932988928773512,1,48.35052477338975,5.6494752266102495,48.7010495467795,0.8953800883961065,0.8888888888888888,9,9,8,1,0,18,16,27.0,680.6844562859467,0,8.35052477338975,32.0,8.35052477338975,0.3505247733897505
72,0.9989529299458276,2,42.71635059861728,11.283649401382718,43.432701197234564,0.7910435296040238,0.7777777777777778,9,9,7,2,0,18,14,27.0,691.0208055752692,0,7.716350598617286,28.0,7.716350598617286,0.7163505986172858
73,1.0,0,54.0,0.0,54.0,1.0,1.0,9,9,9,0,0,18,18,27.0,681.0,1,9.0,36.0,9.0,0.0
74,1.0,0,54.0,0.0,54.0,1.0,1.0,9,9,9,0,0,18,18,27.0,681.0,1,9.0,36.0,9.0,0.0
75,0.9983866917477976,1,49.441830197152186,4.558169802847814,50.441830197152186,0.9155894480954109,0.8888888888888888,9,9,8,1,0,18,16,27.0,683.6642714729451,0,9.0,32.441830197152186,9.0,1.0
76,1.0,0,54.0,0.0,54.0,1.0,1.0,9,9,9,0,0,18,18,27.0,681.0,1,9.0,36.0,9.0,0.0
77,1.0,0,54.0,0.0,54.0,1.0,1.0,9,9,9,0,0,18,18,27.0,681.0,1,9.0,36.0,9.0,0.0
78,1.0,0,54.0,0.0,54.0,1.0,1.0,9,9,9,0,0,18,18,27.0,681.0,1,9.0,36.0,9.0,0.0
79,1.0,0,54.0,0.0,54.0,1.0,1.0,9,9,9,0,0,18,18,27.0,681.0,1,9.0,36.0,9.0,0.0
80,0.9949139682551729,2,47.34322587749452,6.656774122505482,49.34322587749452,0.8767264051387874,0.7777777777777778,9,9,7,2,0,18,14,27.0,682.2624426949748,0,9.0,31.343225877494522,9.0,2.0
81,0.9987798595868247,1,53.53165266611755,0.4683473338824484,54.0,0.9913269012243991,0.8888888888888888,9,9,8,1,0,18,16,27.0,680.1799723499578,0,9.0,36.0,9.0,0.4683473338824484
82,0.9990633021120877,1,50.596589656793064,3.403410343206936,51.596589656793064,0.9369738825332049,0.8888888888888888,9,9,8,1,0,18,16,27.0,683.0941033680506,0,9.0,33.596589656793064,9.0,1.0
83,1.0,0,54.0,0.0,54.0,1.0,1.0,9,9,9,0,0,18,18,27.0,681.0,1,9.0,36.0,9.0,0.0
84,0.9942171052510668,2,48.74491394359727,5.255086056402732,50.74491394359727,0.9026835915480975,0.7777777777777778,9,9,7,2,0,18,14,27.0,680.2586649933246,0,9.0,32.74491394359727,9.0,2.0
85,0.9991268299865856,1,50.178341890305205,3.821658109694795,51.178341890305205,0.9292285535241704,0.8888888888888888,9,9,8,1,0,18,16,27.0,683.5672392181048,0,9.0,33.178341890305205,9.0,1.0
86,0.9948633884432803,1,51.51780209819373,2.4821979018062734,52.51780209819373,0.9540333721887727,0.8888888888888888,9,9,8,1,0,18,16,27.0,678.5441655168004,0,9.0,34.51780209819373,9.0,1.0
87,1.0,0,54.0,0.0,54.0,1.0,1.0,9,9,9,0,0,18,18,27.0,681.0,1,9.0,36.0,9.0,0.0
88,1.0,0,54.0,0.0,54.0,1.0,1.0,9,9,9,0,0,18,18,27.0,681.0,1,9.0,36.0,9.0,0.0
89,0.9981811683837704,1,50.7246056321937,3.2753943678062996,51.7246056321937,0.9393445487443278,0.8888888888888888,9,9,8,1,0,18,16,27.0,682.2039238513838,0,9.0,33.7246056321937,9.0,1.0
