replication,availability,failures,flight_aircraft_hours,flight_gap_aircraft_hours,STF,full_flight_windows,fully_met_three_days,preparation_aircraft_hours,fleet_downtime_hours,POWERPLANT_failures,AVIONICS_failures,ELECTRICAL_failures,HYDRAULIC_failures
1,1.0,0,36.0,0.0,1.0,9,1,9.0,0.0,0,0,0,0
2,1.0,0,36.0,0.0,1.0,9,1,9.0,0.0,0,0,0,0
3,0.9968351084000212,1,34.224481845501394,1.7755181544986058,0.9506800512639276,8,0,8.541051812117004,2.7344663423816016,0,0,0,1
4,1.0,0,36.0,0.0,1.0,9,1,9.0,0.0,0,0,0,0
5,0.9994260657919365,1,36.0,0.0,1.0,9,1,8.676323888311721,0.4958791557668043,0,0,0,1
6,0.9956395355870448,3,33.23255874720665,2.767441252793347,0.9231266318668515,5,0,8.5,3.767441252793347,0,2,0,1
7,1.0,0,36.0,0.0,1.0,9,1,9.0,0.0,0,0,0,0
8,0.9969040645014416,1,34.32511172924554,1.6748882707544581,0.9534753258123762,7,0,8.5,2.674888270754458,1,0,0,0
9,1.0,0,36.0,0.0,1.0,9,1,9.0,0.0,0,0,0,0
10,1.0,0,36.0,0.0,1.0,9,1,9.0,0.0,0,0,0,0
11,1.0,0,36.0,0.0,1.0,9,1,9.0,0.0,0,0,0,0
12,0.9968038081646042,1,34.23849025421807,1.7615097457819289,0.9510691737282797,7,0,8.5,2.761509745781929,0,0,0,1
13,1.0,0,36.0,0.0,1.0,9,1,9.0,0.0,0,0,0,0
14,1.0,0,36.0,0.0,1.0,9,1,9.0,0.0,0,0,0,0
15,1.0,0,36.0,0.0,1.0,9,1,9.0,0.0,0,0,0,0
16,1.0,0,36.0,0.0,1.0,9,1,9.0,0.0,0,0,0,0
17,0.9952472377967089,1,33.68532375150709,2.3146762484929084,0.9357034375418637,7,0,8.5,4.106386543643502,0,0,1,0
18,1.0,0,36.0,0.0,1.0,9,1,9.0,0.0,0,0,0,0
19,1.0,0,36.0,0.0,1.0,9,1,9.0,0.0,0,0,0,0
20,1.0,0,36.0,0.0,1.0,9,1,9.0,0.0,0,0,0,0
21,1.0,0,36.0,0.0,1.0,9,1,9.0,0.0,0,0,0,0
22,1.0,0,36.0,0.0,1.0,9,1,9.0,0.0,0,0,0,0
23,1.0,0,36.0,0.0,1.0,9,1,9.0,0.0,0,0,0,0
