replication,availability,failures,flight_aircraft_hours,flight_gap_aircraft_hours,STF,completion_rate,requested,started,completed,aborted,cancelled,aircraft_sorties,completed_aircraft_sorties,preparation_aircraft_hours,ready_aircraft_hours,all_completed
1,1.0,0,36.0,0.0,1.0,1.0,9,9,9,0,0,18,18,27.0,699.0,1
2,1.0,0,36.0,0.0,1.0,1.0,9,9,9,0,0,18,18,27.0,699.0,1
3,0.9968351084000212,1,34.096343143535194,1.9036568564648064,0.9471206428759776,0.8888888888888888,9,9,8,1,0,18,16,27.0,698.1691905140833,0
4,1.0,0,36.0,0.0,1.0,1.0,9,9,9,0,0,18,18,27.0,699.0,1
5,1.0,0,36.0,0.0,1.0,1.0,9,9,9,0,0,18,18,27.0,699.0,1
6,0.9959231496564287,1,33.50245494542541,2.497545054574587,0.9306237484840393,0.8888888888888888,9,9,8,1,0,18,16,27.0,697.975146357729,0
7,1.0,0,36.0,0.0,1.0,1.0,9,9,9,0,0,18,18,27.0,699.0,1
8,1.0,0,36.0,0.0,1.0,1.0,9,9,9,0,0,18,18,27.0,699.0,1
9,0.9984807613441836,1,33.442609485432996,2.557390514567004,0.928961374595361,0.8888888888888888,9,9,8,1,0,18,16,27.0,700.2447683159415,0
10,1.0,0,36.0,0.0,1.0,1.0,9,9,9,0,0,18,18,27.0,699.0,1
11,0.9993150129655446,1,32.84225271240743,3.1577472875925707,0.9122847975668731,0.8888888888888888,9,9,8,1,0,18,16,27.0,701.565918489823,0
12,0.9968038081646042,1,33.42232236640743,2.5776776335925717,0.9283978435113175,0.8888888888888888,9,9,8,1,0,18,16,27.0,698.8161678878107,0
13,1.0,0,36.0,0.0,1.0,1.0,9,9,9,0,0,18,18,27.0,699.0,1
14,1.0,0,36.0,0.0,1.0,1.0,9,9,9,0,0,18,18,27.0,699.0,1
15,1.0,0,36.0,0.0,1.0,1.0,9,9,9,0,0,18,18,27.0,699.0,1
16,1.0,0,36.0,0.0,1.0,1.0,9,9,9,0,0,18,18,27.0,699.0,1
17,1.0,0,36.0,0.0,1.0,1.0,9,9,9,0,0,18,18,27.0,699.0,1
18,1.0,0,36.0,0.0,1.0,1.0,9,9,9,0,0,18,18,27.0,699.0,1
19,1.0,0,36.0,0.0,1.0,1.0,9,9,9,0,0,18,18,27.0,699.0,1
20,1.0,0,36.0,0.0,1.0,1.0,9,9,9,0,0,18,18,27.0,699.0,1
21,1.0,0,36.0,0.0,1.0,1.0,9,9,9,0,0,18,18,27.0,699.0,1
22,0.9978852575398273,1,34.451961679875254,1.5480383201247463,0.9569989355520904,0.8888888888888888,9,9,8,1,0,18,16,27.0,698.7209008345355,0
23,1.0,0,36.0,0.0,1.0,1.0,9,9,9,0,0,18,18,27.0,699.0,1
24,0.998879125091402,1,35.03723917969222,0.9627608203077784,0.9732566438803395,0.8888888888888888,9,9,8,1,0,18,16,27.0,698.9943248992791,0
25,1.0,0,36.0,0.0,1.0,1.0,9,9,9,0,0,18,18,27.0,699.0,1
26,0.9924990464029307,3,29.62606760741035,6.373932392589651,0.8229463224280652,0.6666666666666666,9,9,6,3,0,18,12,27.0,698.8931084847218,0
27,0.998756462990479,1,33.103796863997346,2.8962031360026543,0.9195499128888152,0.8888888888888888,9,9,8,1,0,18,16,27.0,700.8217871597766,0
28,1.0,0,36.0,0.0,1.0,1.0,9,9,9,0,0,18,18,27.0,699.0,1
29,1.0,0,36.0,0.0,1.0,1.0,9,9,9,0,0,18,18,27.0,699.0,1
30,1.0,0,36.0,0.0,1.0,1.0,9,9,9,0,0,18,18,27.0,699.0,1
31,1.0,0,36.0,0.0,1.0,1.0,9,9,9,0,0,18,18,27.0,699.0,1
32,1.0,0,36.0,0.0,1.0,1.0,9,9,9,0,0,18,18,27.0,699.0,1
33,1.0,0,36.0,0.0,1.0,1.0,9,9,9,0,0,18,18,27.0,699.0,1
34,1.0,0,36.0,0.0,1.0,1.0,9,9,9,0,0,18,18,27.0,699.0,1
35,0.9996588091615436,1,35.49396347519068,0.5060365248093177,0.9859434298664078,0.8888888888888888,9,9,8,1,0,18,16,27.0,699.211247640383,0
36,0.9926393245061411,1,34.78610063162126,1.2138993683787405,0.9662805731005906,0.8888888888888888,9,9,8,1,0,18,16,27.0,693.8542757416847,0
37,0.9985873328341908,1,33.7477868998307,2.2522131001692998,0.9374385249952972,0.8888888888888888,9,9,8,1,0,18,16,27.0,700.0316686689101,0
38,1.0,0,36.0,0.0,1.0,1.0,9,9,9,0,0,18,18,27.0,699.0,1
39,1.0,0,36.0,0.0,1.0,1.0,9,9,9,0,0,18,18,27.0,699.0,1
40,1.0,0,36.0,0.0,1.0,1.0,9,9,9,0,0,18,18,27.0,699.0,1
41,0.9976243223477298,1,35.27349105670814,0.7265089432918614,0.9798191960196705,0.8888888888888888,9,9,8,1,0,18,16,27.0,697.6739234517304,0
42,1.0,0,36.0,0.0,1.0,1.0,9,9,9,0,0,18,18,27.0,699.0,1
43,1.0,0,36.0,0.0,1.0,1.0,9,9,9,0,0,18,18,27.0,699.0,1
44,1.0,0,36.0,0.0,1.0,1.0,9,9,9,0,0,18,18,27.0,699.0,1
45,0.9967035532499343,1,32.086500927770956,3.913499072229044,0.8912916924380822,0.8888888888888888,9,9,8,1,0,18,16,27.0,700.0653690801723,0
46,0.9994488656149864,1,32.28998294927476,3.7100170507252415,0.8969439708131878,0.8888888888888888,9,9,8,1,0,18,16,27.0,702.2338369420735,0
47,1.0,0,36.0,0.0,1.0,1.0,9,9,9,0,0,18,18,27.0,699.0,1
48,1.0,0,36.0,0.0,1.0,1.0,9,9,9,0,0,18,18,27.0,699.0,1
49,1.0,0,36.0,0.0,1.0,1.0,9,9,9,0,0,18,18,27.0,699.0,1
50,1.0,0,36.0,0.0,1.0,1.0,9,9,9,0,0,18,18,27.0,699.0,1
51,0.9978123068819186,1,32.946352536027135,3.0536474639728652,0.9151764593340871,0.8888888888888888,9,9,8,1,0,18,16,27.0,700.1634806099505,0
52,1.0,0,36.0,0.0,1.0,1.0,9,9,9,0,0,18,18,27.0,699.0,1
53,0.9978026805518702,1,34.68113524354702,1.3188647564529816,0.963364867876306,0.8888888888888888,9,9,8,1,0,18,16,27.0,698.4203807532688,0
54,1.0,0,36.0,0.0,1.0,1.0,9,9,9,0,0,18,18,27.0,699.0,1
55,0.9998071399765728,1,33.58793067322932,2.412069326770677,0.93299807425637,0.8888888888888888,9,9,8,1,0,18,16,27.0,701.2454382665295,0
56,0.9996082022632545,1,35.93560447726979,0.06439552273020865,0.9982112354797165,0.8888888888888888,9,9,8,1,0,18,16,27.0,698.7258822781821,0
57,1.0,0,36.0,0.0,1.0,1.0,9,9,9,0,0,18,18,27.0,699.0,1
58,0.99932640764293,1,32.23424459896097,3.76575540103903,0.8953956833044714,0.8888888888888888,9,9,8,1,0,18,16,27.0,702.1837716045306,0
59,0.9994114931237005,1,33.29091234970147,2.709087650298528,0.9247475652694853,0.8888888888888888,9,9,8,1,0,18,16,27.0,701.2006177091757,0
60,1.0,0,36.0,0.0,1.0,1.0,9,9,9,0,0,18,18,27.0,699.0,1
61,1.0,0,36.0,0.0,1.0,1.0,9,9,9,0,0,18,18,27.0,699.0,1
62,1.0,0,36.0,0.0,1.0,1.0,9,9,9,0,0,18,18,27.0,699.0,1
63,1.0,0,36.0,0.0,1.0,1.0,9,9,9,0,0,18,18,27.0,699.0,1
64,1.0,0,36.0,0.0,1.0,1.0,9,9,9,0,0,18,18,27.0,699.0,1
65,1.0,0,36.0,0.0,1.0,1.0,9,9,9,0,0,18,18,27.0,699.0,1
66,1.0,0,36.0,0.0,1.0,1.0,9,9,9,0,0,18,18,27.0,699.0,1
67,0.9992230935439883,1,34.12785617041378,1.8721438295862214,0.947996004733716,0.8888888888888888,9,9,8,1,0,18,16,27.0,700.2008966515921,0
68,1.0,0,36.0,0.0,1.0,1.0,9,9,9,0,0,18,18,27.0,699.0,1
69,0.9989529384046452,1,33.4972869490192,2.5027130509808018,0.9304801930283111,0.8888888888888888,9,9,8,1,0,18,16,27.0,700.5980518325943,0
70,0.9987941929225416,1,32.67475095293118,3.325249047068823,0.9076319709147549,0.8888888888888888,9,9,8,1,0,18,16,27.0,701.2834317321447,0
71,0.9935017428619517,1,32.35052477338975,3.6494752266102495,0.8986256881497153,0.8888888888888888,9,9,8,1,0,18,16,27.0,697.0349810593365,0
72,0.9993674846903978,2,30.716350598617286,5.283649401382714,0.8532319610727024,0.7777777777777778,9,9,7,2,0,18,14,27.0,703.7371561738864,0
73,1.0,0,36.0,0.0,1.0,1.0,9,9,9,0,0,18,18,27.0,699.0,1
74,1.0,0,36.0,0.0,1.0,1.0,9,9,9,0,0,18,18,27.0,699.0,1
75,0.9989653954515013,1,33.441830197152186,2.5581698028478144,0.9289397276986718,0.8888888888888888,9,9,8,1,0,18,16,27.0,700.6642714729451,0
76,1.0,0,36.0,0.0,1.0,1.0,9,9,9,0,0,18,18,27.0,699.0,1
77,1.0,0,36.0,0.0,1.0,1.0,9,9,9,0,0,18,18,27.0,699.0,1
78,1.0,0,36.0,0.0,1.0,1.0,9,9,9,0,0,18,18,27.0,699.0,1
79,1.0,0,36.0,0.0,1.0,1.0,9,9,9,0,0,18,18,27.0,699.0,1
80,0.9996871014840346,1,33.77156438176442,2.2284356182355793,0.9380990106045672,0.8888888888888888,9,9,8,1,0,18,16,27.0,700.9580913004415,0
81,1.0,0,36.0,0.0,1.0,1.0,9,9,9,0,0,18,18,27.0,699.0,1
82,0.9996420058157914,1,34.596589656793064,1.4034103432069358,0.9610163793553629,0.8888888888888888,9,9,8,1,0,18,16,27.0,700.0941033680506,0
83,1.0,0,36.0,0.0,1.0,1.0,9,9,9,0,0,18,18,27.0,699.0,1
84,1.0,0,36.0,0.0,1.0,1.0,9,9,9,0,0,18,18,27.0,699.0,1
85,0.9997055336902894,1,34.178341890305205,1.8216581096947948,0.9493983858418112,0.8888888888888888,9,9,8,1,0,18,16,27.0,700.5672392181048,0
86,1.0,0,36.0,0.0,1.0,1.0,9,9,9,0,0,18,18,27.0,699.0,1
87,1.0,0,36.0,0.0,1.0,1.0,9,9,9,0,0,18,18,27.0,699.0,1
88,1.0,0,36.0,0.0,1.0,1.0,9,9,9,0,0,18,18,27.0,699.0,1
89,0.9987598720874741,1,34.7246056321937,1.2753943678062996,0.9645723786720473,0.8888888888888888,9,9,8,1,0,18,16,27.0,699.2039238513838,0
90,1.0,0,36.0,0.0,1.0,1.0,9,9,9,0,0,18,18,27.0,699.0,1
91,0.9921595278730556,1,33.03305809870227,2.96694190129773,0.9175849471861741,0.8888888888888888,9,9,8,1,0,18,16,27.0,695.1927739836178,0
92,0.9983059196511573,1,35.299377954783836,0.7006220452161642,0.9805382765217732,0.8888888888888888,9,9,8,1,0,18,16,27.0,698.2369366238161,0
93,1.0,0,36.0,0.0,1.0,1.0,9,9,9,0,0,18,18,27.0,699.0,1
94,0.9988328351800101,1,35.24569669548927,0.7543033045107279,0.9790471304302576,0.8888888888888888,9,9,8,1,0,18,16,27.0,698.7458729000396,0
95,0.9974851114028636,1,33.3026460405072,2.6973539594928013,0.9250735011251999,0.8888888888888888,9,9,8,1,0,18,16,27.0,699.524490211567,0
96,1.0,0,36.0,0.0,1.0,1.0,9,9,9,0,0,18,18,27.0,699.0,1
97,1.0,0,36.0,0.0,1.0,1.0,9,9,9,0,0,18,18,27.0,699.0,1
98,1.0,0,36.0,0.0,1.0,1.0,9,9,9,0,0,18,18,27.0,699.0,1
99,1.0,0,36.0,0.0,1.0,1.0,9,9,9,0,0,18,18,27.0,699.0,1
100,0.9992228524928051,1,34.224853473369876,1.7751465266301238,0.9506903742602744,0.8888888888888888,9,9,8,1,0,18,16,27.0,700.1036910804137,0
101,1.0,0,36.0,0.0,1.0,1.0,9,9,9,0,0,18,18,27.0,699.0,1
102,1.0,0,36.0,0.0,1.0,1.0,9,9,9,0,0,18,18,27.0,699.0,1
103,0.9974431277422455,1,33.14789279617267,2.8521072038273303,0.9207747998936853,0.8888888888888888,9,9,8,1,0,18,16,27.0,699.6429695731274,0
104,1.0,0,36.0,0.0,1.0,1.0,9,9,9,0,0,18,18,27.0,699.0,1
105,1.0,0,36.0,0.0,1.0,1.0,9,9,9,0,0,18,18,27.0,699.0,1
106,0.9971498981886863,1,32.82687296322369,3.1731270367763074,0.9118575823117693,0.8888888888888888,9,9,8,1,0,18,16,27.0,699.7106390718013,0
107,1.0,0,36.0,0.0,1.0,1.0,9,9,9,0,0,18,18,27.0,699.0,1
108,1.0,0,36.0,0.0,1.0,1.0,9,9,9,0,0,18,18,27.0,699.0,1
109,1.0,0,36.0,0.0,1.0,1.0,9,9,9,0,0,18,18,27.0,699.0,1
110,1.0,0,36.0,0.0,1.0,1.0,9,9,9,0,0,18,18,27.0,699.0,1
111,1.0,0,36.0,0.0,1.0,1.0,9,9,9,0,0,18,18,27.0,699.0,1
112,1.0,0,36.0,0.0,1.0,1.0,9,9,9,0,0,18,18,27.0,699.0,1
113,1.0,0,36.0,0.0,1.0,1.0,9,9,9,0,0,18,18,27.0,699.0,1
114,1.0,0,36.0,0.0,1.0,1.0,9,9,9,0,0,18,18,27.0,699.0,1
115,1.0,0,36.0,0.0,1.0,1.0,9,9,9,0,0,18,18,27.0,699.0,1
116,1.0,0,36.0,0.0,1.0,1.0,9,9,9,0,0,18,18,27.0,699.0,1
117,0.9982626615623464,1,32.77301337509495,3.2269866249050523,0.9103614826415263,0.8888888888888888,9,9,8,1,0,18,16,27.0,700.7259262147724,0
118,0.9986332038799982,2,32.88691419146576,3.1130858085342368,0.9135253942073823,0.7777777777777778,9,9,7,2,0,18,14,27.0,700.9321739608528,0
119,0.999771465298094,1,34.63036732228946,1.3696326777105412,0.9619546478413739,0.8888888888888888,9,9,8,1,0,18,16,27.0,700.1721786952639,0
120,1.0,0,36.0,0.0,1.0,1.0,9,9,9,0,0,18,18,27.0,699.0,1
121,1.0,0,36.0,0.0,1.0,1.0,9,9,9,0,0,18,18,27.0,699.0,1
122,1.0,0,36.0,0.0,1.0,1.0,9,9,9,0,0,18,18,27.0,699.0,1
123,1.0,0,36.0,0.0,1.0,1.0,9,9,9,0,0,18,18,27.0,699.0,1
124,0.9991483712722369,1,32.39689769467786,3.603102305322139,0.8999138248521628,0.8888888888888888,9,9,8,1,0,18,16,27.0,701.8672950845348,0
125,1.0,0,36.0,0.0,1.0,1.0,9,9,9,0,0,18,18,27.0,699.0,1
126,1.0,0,36.0,0.0,1.0,1.0,9,9,9,0,0,18,18,27.0,699.0,1
127,0.997343460373522,1,34.794359101345975,1.2056408986540248,0.9665099750373882,0.8888888888888888,9,9,8,1,0,18,16,27.0,697.9103906613769,0
128,1.0,0,36.0,0.0,1.0,1.0,9,9,9,0,0,18,18,27.0,699.0,1
129,1.0,0,36.0,0.0,1.0,1.0,9,9,9,0,0,18,18,27.0,699.0,1
130,1.0,0,36.0,0.0,1.0,1.0,9,9,9,0,0,18,18,27.0,699.0,1
131,1.0,0,36.0,0.0,1.0,1.0,9,9,9,0,0,18,18,27.0,699.0,1
132,1.0,0,36.0,0.0,1.0,1.0,9,9,9,0,0,18,18,27.0,699.0,1
133,1.0,0,36.0,0.0,1.0,1.0,9,9,9,0,0,18,18,27.0,699.0,1
134,1.0,0,36.0,0.0,1.0,1.0,9,9,9,0,0,18,18,27.0,699.0,1
135,1.0,0,36.0,0.0,1.0,1.0,9,9,9,0,0,18,18,27.0,699.0,1
136,1.0,0,36.0,0.0,1.0,1.0,9,9,9,0,0,18,18,27.0,699.0,1
