time,asset,event,item
8.5,AIRCRAFT@FLIGHT_POOL-001,开始出动保障,
8.5,AIRCRAFT@FLIGHT_POOL-002,开始出动保障,
8.5,AIRCRAFT@FLIGHT_POOL-003,开始出动保障,
8.5,AIRCRAFT@FLIGHT_POOL-004,开始出动保障,
8.5,AIRCRAFT@FLIGHT_POOL-005,开始出动保障,
8.5,AIRCRAFT@FLIGHT_POOL-006,开始出动保障,
8.5,AIRCRAFT@FLIGHT_POOL-007,开始出动保障,
8.5,AIRCRAFT@FLIGHT_POOL-008,开始出动保障,
8.5,AIRCRAFT@FLIGHT_POOL-009,开始出动保障,
8.5,AIRCRAFT@FLIGHT_POOL-010,开始出动保障,
8.5,AIRCRAFT@FLIGHT_POOL-011,开始出动保障,
8.5,AIRCRAFT@FLIGHT_POOL-012,开始出动保障,
9.0,AIRCRAFT@FLIGHT_POOL-001,保障完成待命,
9.0,AIRCRAFT@FLIGHT_POOL-002,保障完成待命,
9.0,AIRCRAFT@FLIGHT_POOL-003,保障完成待命,
9.0,AIRCRAFT@FLIGHT_POOL-004,保障完成待命,
9.0,AIRCRAFT@FLIGHT_POOL-005,保障完成待命,
9.0,AIRCRAFT@FLIGHT_POOL-006,保障完成待命,
9.0,AIRCRAFT@FLIGHT_POOL-007,保障完成待命,
9.0,AIRCRAFT@FLIGHT_POOL-008,保障完成待命,
9.0,AIRCRAFT@FLIGHT_POOL-009,保障完成待命,
9.0,AIRCRAFT@FLIGHT_POOL-010,保障完成待命,
9.0,AIRCRAFT@FLIGHT_POOL-011,保障完成待命,
9.0,AIRCRAFT@FLIGHT_POOL-012,保障完成待命,
9.0,FLIGHT_POOL/THREE_DAYS/FLIGHT/1,编队统一起飞,"AIRCRAFT@FLIGHT_POOL-001,AIRCRAFT@FLIGHT_POOL-002"
9.0,AIRCRAFT@FLIGHT_POOL-001,任务分配,FLIGHT_POOL/THREE_DAYS/FLIGHT/1
9.0,AIRCRAFT@FLIGHT_POOL-002,任务分配,FLIGHT_POOL/THREE_DAYS/FLIGHT/1
11.0,FLIGHT_POOL/THREE_DAYS/FLIGHT/1,编队任务完成,"AIRCRAFT@FLIGHT_POOL-001,AIRCRAFT@FLIGHT_POOL-002"
11.0,AIRCRAFT@FLIGHT_POOL-001,开始出动保障,
11.0,AIRCRAFT@FLIGHT_POOL-002,开始出动保障,
11.0,AIRCRAFT@FLIGHT_POOL-001,退出任务,
11.0,AIRCRAFT@FLIGHT_POOL-002,退出任务,
11.5,AIRCRAFT@FLIGHT_POOL-001,保障完成待命,
11.5,AIRCRAFT@FLIGHT_POOL-002,保障完成待命,
12.0,FLIGHT_POOL/THREE_DAYS/FLIGHT/2,编队统一起飞,"AIRCRAFT@FLIGHT_POOL-003,AIRCRAFT@FLIGHT_POOL-004"
12.0,AIRCRAFT@FLIGHT_POOL-003,任务分配,FLIGHT_POOL/THREE_DAYS/FLIGHT/2
12.0,AIRCRAFT@FLIGHT_POOL-004,任务分配,FLIGHT_POOL/THREE_DAYS/FLIGHT/2
14.0,FLIGHT_POOL/THREE_DAYS/FLIGHT/2,编队任务完成,"AIRCRAFT@FLIGHT_POOL-003,AIRCRAFT@FLIGHT_POOL-004"
14.0,AIRCRAFT@FLIGHT_POOL-003,开始出动保障,
14.0,AIRCRAFT@FLIGHT_POOL-004,开始出动保障,
14.0,AIRCRAFT@FLIGHT_POOL-003,退出任务,
14.0,AIRCRAFT@FLIGHT_POOL-004,退出任务,
14.5,AIRCRAFT@FLIGHT_POOL-003,保障完成待命,
14.5,AIRCRAFT@FLIGHT_POOL-004,保障完成待命,
15.0,FLIGHT_POOL/THREE_DAYS/FLIGHT/3,编队统一起飞,"AIRCRAFT@FLIGHT_POOL-005,AIRCRAFT@FLIGHT_POOL-006"
15.0,AIRCRAFT@FLIGHT_POOL-005,任务分配,FLIGHT_POOL/THREE_DAYS/FLIGHT/3
15.0,AIRCRAFT@FLIGHT_POOL-006,任务分配,FLIGHT_POOL/THREE_DAYS/FLIGHT/3
17.0,FLIGHT_POOL/THREE_DAYS/FLIGHT/3,编队任务完成,"AIRCRAFT@FLIGHT_POOL-005,AIRCRAFT@FLIGHT_POOL-006"
17.0,AIRCRAFT@FLIGHT_POOL-005,开始出动保障,
17.0,AIRCRAFT@FLIGHT_POOL-006,开始出动保障,
17.0,AIRCRAFT@FLIGHT_POOL-005,退出任务,
17.0,AIRCRAFT@FLIGHT_POOL-006,退出任务,
17.5,AIRCRAFT@FLIGHT_POOL-005,保障完成待命,
17.5,AIRCRAFT@FLIGHT_POOL-006,保障完成待命,
32.5,AIRCRAFT@FLIGHT_POOL-001,开始出动保障,
32.5,AIRCRAFT@FLIGHT_POOL-002,开始出动保障,
32.5,AIRCRAFT@FLIGHT_POOL-003,开始出动保障,
32.5,AIRCRAFT@FLIGHT_POOL-004,开始出动保障,
32.5,AIRCRAFT@FLIGHT_POOL-005,开始出动保障,
32.5,AIRCRAFT@FLIGHT_POOL-006,开始出动保障,
32.5,AIRCRAFT@FLIGHT_POOL-007,开始出动保障,
32.5,AIRCRAFT@FLIGHT_POOL-008,开始出动保障,
32.5,AIRCRAFT@FLIGHT_POOL-009,开始出动保障,
32.5,AIRCRAFT@FLIGHT_POOL-010,开始出动保障,
32.5,AIRCRAFT@FLIGHT_POOL-011,开始出动保障,
32.5,AIRCRAFT@FLIGHT_POOL-012,开始出动保障,
33.0,AIRCRAFT@FLIGHT_POOL-001,保障完成待命,
33.0,AIRCRAFT@FLIGHT_POOL-002,保障完成待命,
33.0,AIRCRAFT@FLIGHT_POOL-003,保障完成待命,
33.0,AIRCRAFT@FLIGHT_POOL-004,保障完成待命,
33.0,AIRCRAFT@FLIGHT_POOL-005,保障完成待命,
33.0,AIRCRAFT@FLIGHT_POOL-006,保障完成待命,
33.0,AIRCRAFT@FLIGHT_POOL-007,保障完成待命,
33.0,AIRCRAFT@FLIGHT_POOL-008,保障完成待命,
33.0,AIRCRAFT@FLIGHT_POOL-009,保障完成待命,
33.0,AIRCRAFT@FLIGHT_POOL-010,保障完成待命,
33.0,AIRCRAFT@FLIGHT_POOL-011,保障完成待命,
33.0,AIRCRAFT@FLIGHT_POOL-012,保障完成待命,
33.0,FLIGHT_POOL/THREE_DAYS/FLIGHT/4,编队统一起飞,"AIRCRAFT@FLIGHT_POOL-007,AIRCRAFT@FLIGHT_POOL-008"
33.0,AIRCRAFT@FLIGHT_POOL-007,任务分配,FLIGHT_POOL/THREE_DAYS/FLIGHT/4
33.0,AIRCRAFT@FLIGHT_POOL-008,任务分配,FLIGHT_POOL/THREE_DAYS/FLIGHT/4
35.0,FLIGHT_POOL/THREE_DAYS/FLIGHT/4,编队任务完成,"AIRCRAFT@FLIGHT_POOL-007,AIRCRAFT@FLIGHT_POOL-008"
35.0,AIRCRAFT@FLIGHT_POOL-007,开始出动保障,
35.0,AIRCRAFT@FLIGHT_POOL-008,开始出动保障,
35.0,AIRCRAFT@FLIGHT_POOL-007,退出任务,
35.0,AIRCRAFT@FLIGHT_POOL-008,退出任务,
35.5,AIRCRAFT@FLIGHT_POOL-007,保障完成待命,
35.5,AIRCRAFT@FLIGHT_POOL-008,保障完成待命,
36.0,FLIGHT_POOL/THREE_DAYS/FLIGHT/5,编队统一起飞,"AIRCRAFT@FLIGHT_POOL-009,AIRCRAFT@FLIGHT_POOL-010"
36.0,AIRCRAFT@FLIGHT_POOL-009,任务分配,FLIGHT_POOL/THREE_DAYS/FLIGHT/5
36.0,AIRCRAFT@FLIGHT_POOL-010,任务分配,FLIGHT_POOL/THREE_DAYS/FLIGHT/5
38.0,FLIGHT_POOL/THREE_DAYS/FLIGHT/5,编队任务完成,"AIRCRAFT@FLIGHT_POOL-009,AIRCRAFT@FLIGHT_POOL-010"
38.0,AIRCRAFT@FLIGHT_POOL-009,开始出动保障,
38.0,AIRCRAFT@FLIGHT_POOL-010,开始出动保障,
38.0,AIRCRAFT@FLIGHT_POOL-009,退出任务,
38.0,AIRCRAFT@FLIGHT_POOL-010,退出任务,
38.5,AIRCRAFT@FLIGHT_POOL-009,保障完成待命,
38.5,AIRCRAFT@FLIGHT_POOL-010,保障完成待命,
39.0,FLIGHT_POOL/THREE_DAYS/FLIGHT/6,编队统一起飞,"AIRCRAFT@FLIGHT_POOL-011,AIRCRAFT@FLIGHT_POOL-012"
39.0,AIRCRAFT@FLIGHT_POOL-011,任务分配,FLIGHT_POOL/THREE_DAYS/FLIGHT/6
39.0,AIRCRAFT@FLIGHT_POOL-012,任务分配,FLIGHT_POOL/THREE_DAYS/FLIGHT/6
41.0,FLIGHT_POOL/THREE_DAYS/FLIGHT/6,编队任务完成,"AIRCRAFT@FLIGHT_POOL-011,AIRCRAFT@FLIGHT_POOL-012"
41.0,AIRCRAFT@FLIGHT_POOL-011,开始出动保障,
41.0,AIRCRAFT@FLIGHT_POOL-012,开始出动保障,
41.0,AIRCRAFT@FLIGHT_POOL-011,退出任务,
41.0,AIRCRAFT@FLIGHT_POOL-012,退出任务,
41.5,AIRCRAFT@FLIGHT_POOL-011,保障完成待命,
41.5,AIRCRAFT@FLIGHT_POOL-012,保障完成待命,
56.5,AIRCRAFT@FLIGHT_POOL-001,开始出动保障,
56.5,AIRCRAFT@FLIGHT_POOL-002,开始出动保障,
56.5,AIRCRAFT@FLIGHT_POOL-003,开始出动保障,
56.5,AIRCRAFT@FLIGHT_POOL-004,开始出动保障,
56.5,AIRCRAFT@FLIGHT_POOL-005,开始出动保障,
56.5,AIRCRAFT@FLIGHT_POOL-006,开始出动保障,
56.5,AIRCRAFT@FLIGHT_POOL-007,开始出动保障,
56.5,AIRCRAFT@FLIGHT_POOL-008,开始出动保障,
56.5,AIRCRAFT@FLIGHT_POOL-009,开始出动保障,
56.5,AIRCRAFT@FLIGHT_POOL-010,开始出动保障,
56.5,AIRCRAFT@FLIGHT_POOL-011,开始出动保障,
56.5,AIRCRAFT@FLIGHT_POOL-012,开始出动保障,
57.0,AIRCRAFT@FLIGHT_POOL-001,保障完成待命,
57.0,AIRCRAFT@FLIGHT_POOL-002,保障完成待命,
57.0,AIRCRAFT@FLIGHT_POOL-003,保障完成待命,
57.0,AIRCRAFT@FLIGHT_POOL-004,保障完成待命,
57.0,AIRCRAFT@FLIGHT_POOL-005,保障完成待命,
57.0,AIRCRAFT@FLIGHT_POOL-006,保障完成待命,
57.0,AIRCRAFT@FLIGHT_POOL-007,保障完成待命,
57.0,AIRCRAFT@FLIGHT_POOL-008,保障完成待命,
57.0,AIRCRAFT@FLIGHT_POOL-009,保障完成待命,
57.0,AIRCRAFT@FLIGHT_POOL-010,保障完成待命,
57.0,AIRCRAFT@FLIGHT_POOL-011,保障完成待命,
57.0,AIRCRAFT@FLIGHT_POOL-012,保障完成待命,
57.0,FLIGHT_POOL/THREE_DAYS/FLIGHT/7,编队统一起飞,"AIRCRAFT@FLIGHT_POOL-001,AIRCRAFT@FLIGHT_POOL-002"
57.0,AIRCRAFT@FLIGHT_POOL-001,任务分配,FLIGHT_POOL/THREE_DAYS/FLIGHT/7
57.0,AIRCRAFT@FLIGHT_POOL-002,任务分配,FLIGHT_POOL/THREE_DAYS/FLIGHT/7
59.0,FLIGHT_POOL/THREE_DAYS/FLIGHT/7,编队任务完成,"AIRCRAFT@FLIGHT_POOL-001,AIRCRAFT@FLIGHT_POOL-002"
59.0,AIRCRAFT@FLIGHT_POOL-001,开始出动保障,
59.0,AIRCRAFT@FLIGHT_POOL-002,开始出动保障,
59.0,AIRCRAFT@FLIGHT_POOL-001,退出任务,
59.0,AIRCRAFT@FLIGHT_POOL-002,退出任务,
59.5,AIRCRAFT@FLIGHT_POOL-001,保障完成待命,
59.5,AIRCRAFT@FLIGHT_POOL-002,保障完成待命,
60.0,FLIGHT_POOL/THREE_DAYS/FLIGHT/8,编队统一起飞,"AIRCRAFT@FLIGHT_POOL-003,AIRCRAFT@FLIGHT_POOL-004"
60.0,AIRCRAFT@FLIGHT_POOL-003,任务分配,FLIGHT_POOL/THREE_DAYS/FLIGHT/8
60.0,AIRCRAFT@FLIGHT_POOL-004,任务分配,FLIGHT_POOL/THREE_DAYS/FLIGHT/8
62.0,FLIGHT_POOL/THREE_DAYS/FLIGHT/8,编队任务完成,"AIRCRAFT@FLIGHT_POOL-003,AIRCRAFT@FLIGHT_POOL-004"
62.0,AIRCRAFT@FLIGHT_POOL-003,开始出动保障,
62.0,AIRCRAFT@FLIGHT_POOL-004,开始出动保障,
62.0,AIRCRAFT@FLIGHT_POOL-003,退出任务,
62.0,AIRCRAFT@FLIGHT_POOL-004,退出任务,
62.5,AIRCRAFT@FLIGHT_POOL-003,保障完成待命,
62.5,AIRCRAFT@FLIGHT_POOL-004,保障完成待命,
63.0,FLIGHT_POOL/THREE_DAYS/FLIGHT/9,编队统一起飞,"AIRCRAFT@FLIGHT_POOL-005,AIRCRAFT@FLIGHT_POOL-006"
63.0,AIRCRAFT@FLIGHT_POOL-005,任务分配,FLIGHT_POOL/THREE_DAYS/FLIGHT/9
63.0,AIRCRAFT@FLIGHT_POOL-006,任务分配,FLIGHT_POOL/THREE_DAYS/FLIGHT/9
65.0,FLIGHT_POOL/THREE_DAYS/FLIGHT/9,编队任务完成,"AIRCRAFT@FLIGHT_POOL-005,AIRCRAFT@FLIGHT_POOL-006"
65.0,AIRCRAFT@FLIGHT_POOL-005,开始出动保障,
65.0,AIRCRAFT@FLIGHT_POOL-006,开始出动保障,
65.0,AIRCRAFT@FLIGHT_POOL-005,退出任务,
65.0,AIRCRAFT@FLIGHT_POOL-006,退出任务,
65.5,AIRCRAFT@FLIGHT_POOL-005,保障完成待命,
65.5,AIRCRAFT@FLIGHT_POOL-006,保障完成待命,
