replication,availability,failures,effective_supply_aircraft_hours,fulfillment,requested,started,completed,aborted,cancelled,aircraft_sorties,completed_aircraft_sorties,preparation_aircraft_hours,ready_aircraft_hours,all_completed,out_aircraft_hours,on_station_aircraft_hours,return_aircraft_hours,abort_return_aircraft_hours,successful,requested_aircraft_sorties,successful_aircraft_sorties,started_rate,success_rate,completion_rate,all_successful
1,1.0,0,36.0,0.6666666666666666,9,6,6,0,3,12,12,9.0,82.0,0,6.0,24.0,6.0,0.0,6,18,12,0.6666666666666666,0.6666666666666666,0.6666666666666666,0
2,1.0,0,36.0,0.6666666666666666,9,6,6,0,3,12,12,9.0,82.0,0,6.0,24.0,6.0,0.0,6,18,12,0.6666666666666666,0.6666666666666666,0.6666666666666666,0
3,0.9775384281779055,1,32.08210362423401,0.5941130300784075,9,6,5,1,3,12,10,9.0,82.18343003338438,0,6.0,21.08210362423401,6.0,1.0,5,18,10,0.6666666666666666,0.5555555555555556,0.5555555555555556,0
4,1.0,0,36.0,0.6666666666666666,9,6,6,0,3,12,12,9.0,82.0,0,6.0,24.0,6.0,0.0,6,18,12,0.6666666666666666,0.6666666666666666,0.6666666666666666,0
5,0.9930841725293972,1,34.35264777662344,0.6361601440115452,9,6,5,1,3,12,10,9.0,82.15147306760976,0,6.0,23.352647776623442,6.0,1.0,5,18,10,0.6666666666666666,0.5555555555555556,0.5555555555555556,0
6,0.9680921511299958,2,26.742983698217472,0.4952404388558791,9,5,3,2,4,10,6,8.0,86.66228606450191,0,5.0,18.742983698217472,5.0,2.0,3,18,6,0.5555555555555556,0.3333333333333333,0.3333333333333333,0
7,1.0,0,36.0,0.6666666666666666,9,6,6,0,3,12,12,9.0,82.0,0,6.0,24.0,6.0,0.0,6,18,12,0.6666666666666666,0.6666666666666666,0.6666666666666666,0
8,0.9779521647864272,1,32.14856656433591,0.5953438252654798,9,6,5,1,3,12,10,9.0,82.17654516490963,0,6.0,21.14856656433591,6.0,1.0,5,18,10,0.6666666666666666,0.5555555555555556,0.5555555555555556,0
9,1.0,0,36.0,0.6666666666666666,9,6,6,0,3,12,12,9.0,82.0,0,6.0,24.0,6.0,0.0,6,18,12,0.6666666666666666,0.6666666666666666,0.6666666666666666,0
10,1.0,0,36.0,0.6666666666666666,9,6,6,0,3,12,12,9.0,82.0,0,6.0,24.0,6.0,0.0,6,18,12,0.6666666666666666,0.6666666666666666,0.6666666666666666,0
