任务,阶段,编队,开始小时,结束小时,飞机1,飞机2
F01/THREE_DAYS/PREFLIGHT/1,PREFLIGHT,F01,8.5,9.0,AIRCRAFT@F01-001,AIRCRAFT@F01-002
F01/THREE_DAYS/FLIGHT/2,FLIGHT,F01,9.0,11.0,AIRCRAFT@F01-001,AIRCRAFT@F01-002
F01/THREE_DAYS/PREFLIGHT/3,PREFLIGHT,F01,11.0,11.5,AIRCRAFT@F01-001,AIRCRAFT@F01-002
F01/THREE_DAYS/FLIGHT/4,FLIGHT,F01,12.0,14.0,AIRCRAFT@F01-001,AIRCRAFT@F01-002
F01/THREE_DAYS/PREFLIGHT/5,PREFLIGHT,F01,14.0,14.5,AIRCRAFT@F01-001,AIRCRAFT@F01-002
F01/THREE_DAYS/FLIGHT/6,FLIGHT,F01,15.0,17.0,AIRCRAFT@F01-001,AIRCRAFT@F01-002
F01/THREE_DAYS/PREFLIGHT/7,PREFLIGHT,F01,32.5,33.0,AIRCRAFT@F01-001,AIRCRAFT@F01-002
F01/THREE_DAYS/FLIGHT/8,FLIGHT,F01,33.0,35.0,AIRCRAFT@F01-001,AIRCRAFT@F01-002
F01/THREE_DAYS/PREFLIGHT/9,PREFLIGHT,F01,35.0,35.5,AIRCRAFT@F01-001,AIRCRAFT@F01-002
F01/THREE_DAYS/FLIGHT/10,FLIGHT,F01,36.0,38.0,AIRCRAFT@F01-001,AIRCRAFT@F01-002
F01/THREE_DAYS/PREFLIGHT/11,PREFLIGHT,F01,38.0,38.5,AIRCRAFT@F01-001,AIRCRAFT@F01-002
F01/THREE_DAYS/FLIGHT/12,FLIGHT,F01,39.0,41.0,AIRCRAFT@F01-001,AIRCRAFT@F01-002
F01/THREE_DAYS/PREFLIGHT/13,PREFLIGHT,F01,56.5,57.0,AIRCRAFT@F01-001,AIRCRAFT@F01-002
F01/THREE_DAYS/FLIGHT/14,FLIGHT,F01,57.0,59.0,AIRCRAFT@F01-001,AIRCRAFT@F01-002
F01/THREE_DAYS/PREFLIGHT/15,PREFLIGHT,F01,59.0,59.5,AIRCRAFT@F01-001,AIRCRAFT@F01-002
F01/THREE_DAYS/FLIGHT/16,FLIGHT,F01,60.0,62.0,AIRCRAFT@F01-001,AIRCRAFT@F01-002
F01/THREE_DAYS/PREFLIGHT/17,PREFLIGHT,F01,62.0,62.5,AIRCRAFT@F01-001,AIRCRAFT@F01-002
F01/THREE_DAYS/FLIGHT/18,FLIGHT,F01,63.0,65.0,AIRCRAFT@F01-001,AIRCRAFT@F01-002
