id,type,start,end,quantity,minimum,priority,relief_hours,tolerance_hours,demand_hours,supplied_hours,gap_hours,minimum_rate,qualified_rate,below_hours,longest_below_hours
FLEET/DAILY/DUTY/1,DUTY,8.0,16.0,15,13,2,0.5,0.25,120.0,119.25627870882235,0.7437212911776453,0.999419858405561,0.99,0.004641132755512522,0.004641132755512522
FLEET/DAILY/PEAK/31,PEAK,10.0,14.0,4,3,1,0.5,0.25,16.0,15.898074624166037,0.10192537583395951,0.9975497626858443,0.99,0.009800949256622733,0.009800949256622733
FLEET/DAILY/DUTY/2,DUTY,32.0,40.0,15,13,2,0.5,0.25,120.0,119.0681401987354,0.9318598012645958,0.9966197125060197,0.98,0.02704229995184356,0.026945297285488935
FLEET/DAILY/PEAK/32,PEAK,34.0,38.0,4,3,1,0.5,0.25,16.0,15.796494150426337,0.2035058495736628,0.9989504742323888,0.99,0.004198103070445143,0.004198103070445143
FLEET/DAILY/DUTY/3,DUTY,56.0,64.0,15,13,2,0.5,0.25,120.0,119.14555408919635,0.8544459108036554,1.0,1.0,0.0,0.0
FLEET/DAILY/PEAK/33,PEAK,58.0,62.0,4,3,1,0.5,0.25,16.0,15.880086774346726,0.11991322565327273,0.998599476365672,0.99,0.005602094537312184,0.005602094537312184
FLEET/DAILY/DUTY/4,DUTY,80.0,88.0,15,13,2,0.5,0.25,120.0,119.16613227109475,0.8338677289052455,1.0,1.0,0.0,0.0
FLEET/DAILY/PEAK/34,PEAK,82.0,86.0,4,3,1,0.5,0.25,16.0,15.696320738908575,0.303679261091424,0.99,0.99,0.04,0.04
FLEET/DAILY/DUTY/5,DUTY,104.0,112.0,15,13,2,0.5,0.25,120.0,119.29082476104358,0.7091752389564185,1.0,1.0,0.0,0.0
FLEET/DAILY/PEAK/35,PEAK,106.0,110.0,4,3,1,0.5,0.25,16.0,15.622856490187917,0.377143509812082,0.9785922595700691,0.97,0.08563096171972333,0.08563096171972333
FLEET/DAILY/DUTY/6,DUTY,128.0,136.0,15,13,2,0.5,0.25,120.0,119.26058843418535,0.7394115658146291,1.0,1.0,0.0,0.0
FLEET/DAILY/PEAK/36,PEAK,130.0,134.0,4,3,1,0.5,0.25,16.0,15.531848660897277,0.4681513391027238,0.98,0.98,0.08,0.08
FLEET/DAILY/DUTY/7,DUTY,152.0,160.0,15,13,2,0.5,0.25,120.0,119.14693375512198,0.8530662448780229,1.0,1.0,0.0,0.0
FLEET/DAILY/PEAK/37,PEAK,154.0,158.0,4,3,1,0.5,0.25,16.0,15.405765777414267,0.5942342225857326,0.9712629311680416,0.97,0.1149482753278332,0.1149482753278332
FLEET/DAILY/DUTY/8,DUTY,176.0,184.0,15,13,2,0.5,0.25,120.0,119.06431979168103,0.9356802083189806,0.9949017270852931,0.99,0.040786183317654545,0.040786183317654545
FLEET/DAILY/PEAK/38,PEAK,178.0,182.0,4,3,1,0.5,0.25,16.0,15.21261136143333,0.7873886385666691,0.966696048310743,0.96,0.13321580675702818,0.13321580675702818
FLEET/DAILY/DUTY/9,DUTY,200.0,208.0,15,13,2,0.5,0.25,120.0,118.7891279685781,1.2108720314219041,0.99,0.99,0.08,0.08
FLEET/DAILY/PEAK/39,PEAK,202.0,206.0,4,3,1,0.5,0.25,16.0,15.038259638391235,0.9617403616087651,0.9429818746482997,0.93,0.22807250140680055,0.22807250140680055
FLEET/DAILY/DUTY/10,DUTY,224.0,232.0,15,13,2,0.5,0.25,120.0,118.92042917523162,1.0795708247683782,0.9980539769783394,0.99,0.015568184173284863,0.015568184173284863
FLEET/DAILY/PEAK/40,PEAK,226.0,230.0,4,3,1,0.5,0.25,16.0,14.786463491175573,1.213536508824427,0.9179129885057803,0.9,0.3283480459768788,0.3283480459768788
FLEET/DAILY/DUTY/11,DUTY,248.0,256.0,15,13,2,0.5,0.25,120.0,119.195506018606,0.8044939813939984,0.9987409003668278,0.99,0.010072797065376449,0.010072797065376449
FLEET/DAILY/PEAK/41,PEAK,250.0,254.0,4,3,1,0.5,0.25,16.0,14.920948992949668,1.0790510070503339,0.9386585643641746,0.93,0.2453657425433019,0.2453657425433019
FLEET/DAILY/DUTY/12,DUTY,272.0,280.0,15,13,2,0.5,0.25,120.0,118.80235551564907,1.1976444843509426,0.9982523594752999,0.99,0.013981124197600251,0.012841381106205745
FLEET/DAILY/PEAK/42,PEAK,274.0,278.0,4,3,1,0.5,0.25,16.0,14.51981310562001,1.4801868943799916,0.8880886590133256,0.87,0.4476453639466979,0.4476453639466979
FLEET/DAILY/DUTY/13,DUTY,296.0,304.0,15,13,2,0.5,0.25,120.0,118.9411378793997,1.0588621206002922,0.9962120817582296,0.97,0.030303345934163416,0.030303345934163416
FLEET/DAILY/PEAK/43,PEAK,298.0,302.0,4,3,1,0.5,0.25,16.0,14.175104684772823,1.8248953152271776,0.87,0.87,0.52,0.52
FLEET/DAILY/DUTY/14,DUTY,320.0,328.0,15,13,2,0.5,0.25,120.0,118.6356514281117,1.364348571888285,0.9886453664216301,0.98,0.09083706862695863,0.09083706862695863
FLEET/DAILY/PEAK/44,PEAK,322.0,326.0,4,3,1,0.5,0.25,16.0,14.050419662279467,1.9495803377205345,0.8671087017852673,0.85,0.5315651928589307,0.5315651928589307
