id,type,start,end,quantity,minimum,priority,relief_hours,tolerance_hours,demand_hours,supplied_hours,gap_hours,minimum_rate,qualified_rate,below_hours,longest_below_hours
FLEET/DAILY/DUTY/1,DUTY,8.0,16.0,15,13,2,0.25,0.25,120.0,119.52422398285852,0.4757760171414786,0.999732358405561,1.0,0.002141132755512523,0.002141132755512523
FLEET/DAILY/PEAK/31,PEAK,10.0,14.0,4,3,1,0.25,0.25,16.0,15.934468283632123,0.06553171636787498,0.9981747626858443,0.99,0.007300949256622733,0.007300949256622733
FLEET/DAILY/DUTY/2,DUTY,32.0,40.0,15,13,2,0.25,0.25,120.0,119.37651380911849,0.6234861908814915,0.9971919867350992,0.98,0.022464106119206875,0.022464106119206875
FLEET/DAILY/PEAK/32,PEAK,34.0,38.0,4,3,1,0.25,0.25,16.0,15.858820909227074,0.14117909077292737,0.9989504742323888,0.99,0.004198103070445143,0.004198103070445143
FLEET/DAILY/DUTY/3,DUTY,56.0,64.0,15,13,2,0.25,0.25,120.0,119.44010322959002,0.5598967704099889,1.0,1.0,0.0,0.0
FLEET/DAILY/PEAK/33,PEAK,58.0,62.0,4,3,1,0.25,0.25,16.0,15.9033410993904,0.09665890060959953,0.999224476365672,0.99,0.003102094537312183,0.003102094537312183
FLEET/DAILY/DUTY/4,DUTY,80.0,88.0,15,13,2,0.25,0.25,120.0,119.43554907964315,0.5644509203568316,1.0,1.0,0.0,0.0
FLEET/DAILY/PEAK/34,PEAK,82.0,86.0,4,3,1,0.25,0.25,16.0,15.746279559997618,0.2537204400023833,0.9894317988903757,0.99,0.042272804438497076,0.042272804438497076
FLEET/DAILY/DUTY/5,DUTY,104.0,112.0,15,13,2,0.25,0.25,120.0,119.54978638003976,0.4502136199602319,1.0,1.0,0.0,0.0
FLEET/DAILY/PEAK/35,PEAK,106.0,110.0,4,3,1,0.25,0.25,16.0,15.54870605931428,0.451293940685718,0.9692172595700691,0.96,0.12313096171972333,0.12313096171972333
FLEET/DAILY/DUTY/6,DUTY,128.0,136.0,15,13,2,0.25,0.25,120.0,119.51517295462736,0.4848270453726266,1.0,1.0,0.0,0.0
FLEET/DAILY/PEAK/36,PEAK,130.0,134.0,4,3,1,0.25,0.25,16.0,15.593961985102496,0.4060380148975045,0.98,0.98,0.08,0.08
FLEET/DAILY/DUTY/7,DUTY,152.0,160.0,15,13,2,0.25,0.25,120.0,119.45915174805887,0.5408482519411243,1.0,1.0,0.0,0.0
FLEET/DAILY/PEAK/37,PEAK,154.0,158.0,4,3,1,0.25,0.25,16.0,15.431606862100939,0.5683931378990613,0.9618879311680416,0.96,0.1524482753278332,0.1524482753278332
FLEET/DAILY/DUTY/8,DUTY,176.0,184.0,15,13,2,0.25,0.25,120.0,119.31758246341356,0.6824175365864442,0.9949017270852931,0.99,0.040786183317654545,0.040786183317654545
FLEET/DAILY/PEAK/38,PEAK,178.0,182.0,4,3,1,0.25,0.25,16.0,15.299820211952808,0.7001797880471909,0.967321048310743,0.96,0.13071580675702818,0.13071580675702818
FLEET/DAILY/DUTY/9,DUTY,200.0,208.0,15,13,2,0.25,0.25,120.0,119.09491311281144,0.9050868871885518,0.99,0.99,0.08,0.08
FLEET/DAILY/PEAK/39,PEAK,202.0,206.0,4,3,1,0.25,0.25,16.0,15.07970554066187,0.9202944593381293,0.9456895426620249,0.94,0.21724182935190073,0.21724182935190073
FLEET/DAILY/DUTY/10,DUTY,224.0,232.0,15,13,2,0.25,0.25,120.0,119.21338130665391,0.7866186933460853,0.9984375,0.99,0.0125,0.0125
FLEET/DAILY/PEAK/40,PEAK,226.0,230.0,4,3,1,0.25,0.25,16.0,14.819819644567685,1.1801803554323151,0.9204129885057803,0.9,0.31834804597687877,0.31834804597687877
FLEET/DAILY/DUTY/11,DUTY,248.0,256.0,15,13,2,0.25,0.25,120.0,119.40595665644837,0.5940433435516542,0.9988615022375562,0.99,0.009107982099550611,0.009107982099550611
FLEET/DAILY/PEAK/41,PEAK,250.0,254.0,4,3,1,0.25,0.25,16.0,14.95000827307414,1.04999172692586,0.9392835643641746,0.93,0.2428657425433019,0.2428657425433019
FLEET/DAILY/DUTY/12,DUTY,272.0,280.0,15,13,2,0.25,0.25,120.0,119.07537824961996,0.9246217503800619,0.9973148594752999,0.99,0.021481124197600253,0.011139743091394507
FLEET/DAILY/PEAK/42,PEAK,274.0,278.0,4,3,1,0.25,0.25,16.0,14.558793261137417,1.441206738862583,0.8866809089153138,0.88,0.4532763643387449,0.4532763643387449
FLEET/DAILY/DUTY/13,DUTY,296.0,304.0,15,13,2,0.25,0.25,120.0,119.11794811941292,0.8820518805870716,0.9960338058577471,0.98,0.0317295531380222,0.0317295531380222
FLEET/DAILY/PEAK/43,PEAK,298.0,302.0,4,3,1,0.25,0.25,16.0,14.204361588089757,1.7956384119102422,0.87,0.87,0.52,0.52
FLEET/DAILY/DUTY/14,DUTY,320.0,328.0,15,13,2,0.25,0.25,120.0,118.87598427074975,1.1240157292502402,0.9883941040273524,0.98,0.09284716778118138,0.09284716778118138
FLEET/DAILY/PEAK/44,PEAK,322.0,326.0,4,3,1,0.25,0.25,16.0,14.14187522157629,1.8581247784237098,0.8764511283130422,0.87,0.4941954867478313,0.4941954867478313
FLEET/DAILY/DUTY/15,DUTY,344.0,352.0,15,13,2,0.25,0.25,120.0,118.65541263585082,1.3445873641491806,0.9861982518127718,0.97,0.1104139854978257,0.1104139854978257
FLEET/DAILY/PEAK/45,PEAK,346.0,350.0,4,3,1,0.25,0.25,16.0,13.816652053926749,2.1833479460732512,0.8487622874962003,0.84,0.604950850015199,0.604950850015199
FLEET/DAILY/DUTY/16,DUTY,368.0,376.0,15,13,2,0.25,0.25,120.0,118.03003833949599,1.9699616605040204,0.9659259169175937,0.94,0.2725926646592501,0.2693725964351063
FLEET/DAILY/PEAK/46,PEAK,370.0,374.0,4,3,1,0.25,0.25,16.0,13.86346166362165,2.1365383363783494,0.852621911716771,0.84,0.589512353132916,0.589512353132916
FLEET/DAILY/DUTY/17,DUTY,392.0,400.0,15,13,2,0.25,0.25,120.0,117.77862588485594,2.2213741151440667,0.9519425456563678,0.95,0.384459634749058,0.384459634749058
FLEET/DAILY/PEAK/47,PEAK,394.0,398.0,4,3,1,0.25,0.25,16.0,13.666768806016398,2.3332311939836035,0.8478712424421055,0.83,0.6085150302315776,0.6085150302315776
FLEET/DAILY/DUTY/18,DUTY,416.0,424.0,15,13,2,0.25,0.25,120.0,118.11552277061934,1.8844772293806704,0.9652346831701658,0.94,0.27812253463867365,0.263960987733019
FLEET/DAILY/PEAK/48,PEAK,418.0,422.0,4,3,1,0.25,0.25,16.0,13.692376027620021,2.3076239723799783,0.831405378846001,0.82,0.6743784846159963,0.6743784846159963
FLEET/DAILY/DUTY/19,DUTY,440.0,448.0,15,13,2,0.25,0.25,120.0,118.44396698236656,1.5560330176334327,0.9803976333674029,0.96,0.15681893306077654,0.15681893306077654
FLEET/DAILY/PEAK/49,PEAK,442.0,446.0,4,3,1,0.25,0.25,16.0,13.850296417820253,2.149703582179747,0.8730420264179323,0.86,0.507831894328271,0.507831894328271
FLEET/DAILY/DUTY/20,DUTY,464.0,472.0,15,13,2,0.25,0.25,120.0,118.74809745883138,1.2519025411686204,0.9864907939421721,0.96,0.10807364846262374,0.10807364846262374
FLEET/DAILY/PEAK/50,PEAK,466.0,470.0,4,3,1,0.25,0.25,16.0,13.348027025498089,2.6519729745019123,0.82,0.82,0.72,0.72
FLEET/DAILY/DUTY/21,DUTY,488.0,496.0,15,13,2,0.25,0.25,120.0,118.19536056067552,1.8046394393244753,0.9820594678704905,0.96,0.14352425703607594,0.12608207133070493
FLEET/DAILY/PEAK/51,PEAK,490.0,494.0,4,3,1,0.25,0.25,16.0,12.869528610218126,3.130471389781874,0.7955397069128033,0.78,0.817841172348787,0.817841172348787
FLEET/DAILY/DUTY/22,DUTY,512.0,520.0,15,13,2,0.25,0.25,120.0,118.22262960449643,1.777370395503566,0.9900671794334811,0.97,0.07946256453215142,0.07572583416667157
FLEET/DAILY/PEAK/52,PEAK,514.0,518.0,4,3,1,0.25,0.25,16.0,12.920878480527545,3.0791215194724555,0.7721272506868567,0.77,0.9114909972525731,0.9114909972525731
FLEET/DAILY/DUTY/23,DUTY,536.0,544.0,15,13,2,0.25,0.25,120.0,117.57836930928924,2.4216306907107503,0.9591635804124553,0.93,0.3266913567003576,0.3266913567003576
FLEET/DAILY/PEAK/53,PEAK,538.0,542.0,4,3,1,0.25,0.25,16.0,12.405025309606442,3.594974690393558,0.754373715728768,0.74,0.982505137084928,0.982505137084928
FLEET/DAILY/DUTY/24,DUTY,560.0,568.0,15,13,2,0.25,0.25,120.0,116.81862550673434,3.181374493265649,0.9416626500769272,0.91,0.4666987993845828,0.4666987993845828
FLEET/DAILY/PEAK/54,PEAK,562.0,566.0,4,3,1,0.25,0.25,16.0,12.50110828708821,3.4988917129117896,0.7672524511286207,0.75,0.9309901954855172,0.9309901954855172
FLEET/DAILY/DUTY/25,DUTY,584.0,592.0,15,13,2,0.25,0.25,120.0,116.65131299208011,3.348687007919898,0.9354135641111171,0.91,0.5166914871110635,0.4916914871110635
FLEET/DAILY/PEAK/55,PEAK,586.0,590.0,4,3,1,0.25,0.25,16.0,12.571315238469005,3.4286847615309934,0.7573481199038778,0.74,0.9706075203844887,0.9564485276346113
FLEET/DAILY/DUTY/26,DUTY,608.0,616.0,15,13,2,0.25,0.25,120.0,116.65507643806703,3.3449235619329842,0.9245352353788147,0.9,0.6037181169694827,0.5787181169694827
FLEET/DAILY/PEAK/56,PEAK,610.0,614.0,4,3,1,0.25,0.25,16.0,12.491212862615367,3.508787137384635,0.7492529669118949,0.74,1.0029881323524206,1.0029881323524206
FLEET/DAILY/DUTY/27,DUTY,632.0,640.0,15,13,2,0.25,0.25,120.0,116.35501322338843,3.6449867766115642,0.9124743953277619,0.91,0.7002048373779053,0.7002048373779053
FLEET/DAILY/PEAK/57,PEAK,634.0,638.0,4,3,1,0.25,0.25,16.0,12.691217327257604,3.308782672742394,0.7729060104991732,0.75,0.9083759580033075,0.9083759580033075
FLEET/DAILY/DUTY/28,DUTY,656.0,664.0,15,13,2,0.25,0.25,120.0,116.58904876573422,3.4109512342657773,0.9302405346855259,0.91,0.5580757225157924,0.5455757225157924
FLEET/DAILY/PEAK/58,PEAK,658.0,662.0,4,3,1,0.25,0.25,16.0,12.656778149139445,3.3432218508605547,0.7727576927416524,0.77,0.9089692290333903,0.9089692290333903
FLEET/DAILY/DUTY/29,DUTY,680.0,688.0,15,13,2,0.25,0.25,120.0,116.38639086366194,3.6136091363380354,0.9368003479037046,0.93,0.5055972167703635,0.4930972167703635
FLEET/DAILY/PEAK/59,PEAK,682.0,686.0,4,3,1,0.25,0.25,16.0,12.465278204863687,3.534721795136313,0.7689300543945649,0.76,0.9242797824217405,0.9242797824217405
FLEET/DAILY/DUTY/30,DUTY,704.0,712.0,15,13,2,0.25,0.25,120.0,115.98927388989983,4.010726110100162,0.9240927662606524,0.88,0.6072578699147811,0.5970010586626949
FLEET/DAILY/PEAK/60,PEAK,706.0,710.0,4,3,1,0.25,0.25,16.0,12.365865365517843,3.6341346344821557,0.733740528498478,0.72,1.065037886006088,1.065037886006088
