id,type,start,end,quantity,minimum,priority,relief_hours,tolerance_hours,demand_hours,supplied_hours,gap_hours,minimum_rate,qualified_rate,below_hours,longest_below_hours
FLEET/DAILY/DUTY/1,DUTY,8.0,16.0,15,13,2,0.5,0.25,120.0,119.25627870882235,0.7437212911776453,0.999419858405561,0.99,0.004641132755512522,0.004641132755512522
FLEET/DAILY/PEAK/31,PEAK,10.0,14.0,4,3,1,0.5,0.25,16.0,15.898074624166037,0.10192537583395951,0.9975497626858443,0.99,0.009800949256622733,0.009800949256622733
FLEET/DAILY/DUTY/2,DUTY,32.0,40.0,15,13,2,0.5,0.25,120.0,119.0681401987354,0.9318598012645958,0.9966197125060197,0.98,0.02704229995184356,0.026945297285488935
FLEET/DAILY/PEAK/32,PEAK,34.0,38.0,4,3,1,0.5,0.25,16.0,15.796494150426337,0.2035058495736628,0.9989504742323888,0.99,0.004198103070445143,0.004198103070445143
FLEET/DAILY/DUTY/3,DUTY,56.0,64.0,15,13,2,0.5,0.25,120.0,119.14555408919635,0.8544459108036554,1.0,1.0,0.0,0.0
FLEET/DAILY/PEAK/33,PEAK,58.0,62.0,4,3,1,0.5,0.25,16.0,15.880086774346726,0.11991322565327273,0.998599476365672,0.99,0.005602094537312184,0.005602094537312184
FLEET/DAILY/DUTY/4,DUTY,80.0,88.0,15,13,2,0.5,0.25,120.0,119.30871104203297,0.6912889579670322,1.0,1.0,0.0,0.0
FLEET/DAILY/PEAK/34,PEAK,82.0,86.0,4,3,1,0.5,0.25,16.0,15.702293957266152,0.2977060427338492,0.99,0.99,0.04,0.04
FLEET/DAILY/DUTY/5,DUTY,104.0,112.0,15,13,2,0.5,0.25,120.0,119.3242784734159,0.6757215265840973,1.0,1.0,0.0,0.0
FLEET/DAILY/PEAK/35,PEAK,106.0,110.0,4,3,1,0.5,0.25,16.0,15.816384513421271,0.1836154865787293,0.9985922595700691,0.99,0.005630961719723331,0.005630961719723331
FLEET/DAILY/DUTY/6,DUTY,128.0,136.0,15,13,2,0.5,0.25,120.0,119.36738774181882,0.6326122581811825,1.0,1.0,0.0,0.0
FLEET/DAILY/PEAK/36,PEAK,130.0,134.0,4,3,1,0.5,0.25,16.0,15.856848660897276,0.1431513391027238,1.0,1.0,0.0,0.0
FLEET/DAILY/DUTY/7,DUTY,152.0,160.0,15,13,2,0.5,0.25,120.0,119.27883393900748,0.7211660609924948,1.0,1.0,0.0,0.0
FLEET/DAILY/PEAK/37,PEAK,154.0,158.0,4,3,1,0.5,0.25,16.0,15.800714052742102,0.19928594725789936,1.0,1.0,0.0,0.0
FLEET/DAILY/DUTY/8,DUTY,176.0,184.0,15,13,2,0.5,0.25,120.0,119.2826295054202,0.7173704945797891,1.0,1.0,0.0,0.0
FLEET/DAILY/PEAK/38,PEAK,178.0,182.0,4,3,1,0.5,0.25,16.0,15.727651482946591,0.27234851705340757,0.9894017335814567,0.99,0.04239306567417344,0.04239306567417344
FLEET/DAILY/DUTY/9,DUTY,200.0,208.0,15,13,2,0.5,0.25,120.0,119.09739709557508,0.9026029044249501,1.0,1.0,0.0,0.0
FLEET/DAILY/PEAK/39,PEAK,202.0,206.0,4,3,1,0.5,0.25,16.0,15.713974978537816,0.2860250214621817,0.988542331986275,0.98,0.045830672054899824,0.045830672054899824
FLEET/DAILY/DUTY/10,DUTY,224.0,232.0,15,13,2,0.5,0.25,120.0,119.1849106112677,0.8150893887323027,0.9999289769783394,1.0,0.0005681841732848625,0.0005681841732848625
FLEET/DAILY/PEAK/40,PEAK,226.0,230.0,4,3,1,0.5,0.25,16.0,15.779507414740179,0.2204925852598214,0.9978203171743059,0.99,0.008718731302776917,0.008718731302776917
FLEET/DAILY/DUTY/11,DUTY,248.0,256.0,15,13,2,0.5,0.25,120.0,119.40670182299351,0.5932981770064819,0.9998793981292718,1.0,0.0009648149658258376,0.0009648149658258376
FLEET/DAILY/PEAK/41,PEAK,250.0,254.0,4,3,1,0.5,0.25,16.0,15.850536162696194,0.1494638373038066,0.9986585643641746,0.99,0.005365742543301906,0.005365742543301906
FLEET/DAILY/DUTY/12,DUTY,272.0,280.0,15,13,2,0.5,0.25,120.0,119.17614424059354,0.8238557594064417,1.0,1.0,0.0,0.0
FLEET/DAILY/PEAK/42,PEAK,274.0,278.0,4,3,1,0.5,0.25,16.0,15.85451479449535,0.14548520550465072,0.9987762688200793,0.99,0.004894924719682763,0.004894924719682763
FLEET/DAILY/DUTY/13,DUTY,296.0,304.0,15,13,2,0.5,0.25,120.0,119.46350996812875,0.5364900318712472,0.9995532759004823,0.99,0.00357379279614122,0.00357379279614122
FLEET/DAILY/PEAK/43,PEAK,298.0,302.0,4,3,1,0.5,0.25,16.0,15.899528781516256,0.10047121848374331,1.0,1.0,0.0,0.0
FLEET/DAILY/DUTY/14,DUTY,320.0,328.0,15,13,2,0.5,0.25,120.0,119.39718850075425,0.6028114992457506,1.0,1.0,0.0,0.0
FLEET/DAILY/PEAK/44,PEAK,322.0,326.0,4,3,1,0.5,0.25,16.0,15.832006830875857,0.1679931691241427,0.99843935639193,0.99,0.006242574432279753,0.006242574432279753
