id,type,start,end,quantity,minimum,priority,relief_hours,tolerance_hours,demand_hours,supplied_hours,gap_hours,minimum_rate,qualified_rate,below_hours,longest_below_hours
FLEET/DAILY/DUTY/1,DUTY,8.0,16.0,15,13,2,0.25,0.25,120.0,119.52422398285852,0.4757760171414786,0.999732358405561,1.0,0.002141132755512523,0.002141132755512523
FLEET/DAILY/PEAK/31,PEAK,10.0,14.0,4,3,1,0.25,0.25,16.0,15.934468283632123,0.06553171636787498,0.9981747626858443,0.99,0.007300949256622733,0.007300949256622733
FLEET/DAILY/DUTY/2,DUTY,32.0,40.0,15,13,2,0.25,0.25,120.0,119.37651380911849,0.6234861908814915,0.9971919867350992,0.98,0.022464106119206875,0.022464106119206875
FLEET/DAILY/PEAK/32,PEAK,34.0,38.0,4,3,1,0.25,0.25,16.0,15.858820909227074,0.14117909077292737,0.9989504742323888,0.99,0.004198103070445143,0.004198103070445143
FLEET/DAILY/DUTY/3,DUTY,56.0,64.0,15,13,2,0.25,0.25,120.0,119.44010322959002,0.5598967704099889,1.0,1.0,0.0,0.0
FLEET/DAILY/PEAK/33,PEAK,58.0,62.0,4,3,1,0.25,0.25,16.0,15.9033410993904,0.09665890060959953,0.999224476365672,0.99,0.003102094537312183,0.003102094537312183
FLEET/DAILY/DUTY/4,DUTY,80.0,88.0,15,13,2,0.25,0.25,120.0,119.58562785058137,0.4143721494186183,1.0,1.0,0.0,0.0
FLEET/DAILY/PEAK/34,PEAK,82.0,86.0,4,3,1,0.25,0.25,16.0,15.752018601690684,0.24798139830931576,0.9894317988903757,0.99,0.042272804438497076,0.042272804438497076
FLEET/DAILY/DUTY/5,DUTY,104.0,112.0,15,13,2,0.25,0.25,120.0,119.5882400924121,0.41175990758791076,1.0,1.0,0.0,0.0
FLEET/DAILY/PEAK/35,PEAK,106.0,110.0,4,3,1,0.25,0.25,16.0,15.867234082547634,0.1327659174523653,0.9992172595700691,0.99,0.0031309617197233307,0.0031309617197233307
FLEET/DAILY/DUTY/6,DUTY,128.0,136.0,15,13,2,0.25,0.25,120.0,119.6019722622608,0.39802773773918004,1.0,1.0,0.0,0.0
FLEET/DAILY/PEAK/36,PEAK,130.0,134.0,4,3,1,0.25,0.25,16.0,15.916461985102496,0.08353801489750452,1.0,1.0,0.0,0.0
FLEET/DAILY/DUTY/7,DUTY,152.0,160.0,15,13,2,0.25,0.25,120.0,119.58311916989678,0.416880830103226,1.0,1.0,0.0,0.0
FLEET/DAILY/PEAK/37,PEAK,154.0,158.0,4,3,1,0.25,0.25,16.0,15.824806502345837,0.17519349765416506,1.0,1.0,0.0,0.0
FLEET/DAILY/DUTY/8,DUTY,176.0,184.0,15,13,2,0.25,0.25,120.0,119.56108212625304,0.4389178737469501,1.0,1.0,0.0,0.0
FLEET/DAILY/PEAK/38,PEAK,178.0,182.0,4,3,1,0.25,0.25,16.0,15.766484631703083,0.23351536829691782,0.9887767335814567,0.98,0.04489306567417344,0.04489306567417344
FLEET/DAILY/DUTY/9,DUTY,200.0,208.0,15,13,2,0.25,0.25,120.0,119.42063058245111,0.5793694175488912,1.0,1.0,0.0,0.0
FLEET/DAILY/PEAK/39,PEAK,202.0,206.0,4,3,1,0.25,0.25,16.0,15.77201900696907,0.2279809930309284,0.99,0.99,0.04,0.04
FLEET/DAILY/DUTY/10,DUTY,224.0,232.0,15,13,2,0.25,0.25,120.0,119.50634145970096,0.4936585402990326,1.0,1.0,0.0,0.0
FLEET/DAILY/PEAK/40,PEAK,226.0,230.0,4,3,1,0.25,0.25,16.0,15.858514194196704,0.1414858058032951,0.9978203171743059,0.99,0.008718731302776917,0.008718731302776917
FLEET/DAILY/DUTY/11,DUTY,248.0,256.0,15,13,2,0.25,0.25,120.0,119.63150332118808,0.36849667881190756,1.0,1.0,0.0,0.0
FLEET/DAILY/PEAK/41,PEAK,250.0,254.0,4,3,1,0.25,0.25,16.0,15.922695175718342,0.07730482428165772,0.9992835643641746,0.99,0.0028657425433019058,0.0028657425433019058
FLEET/DAILY/DUTY/12,DUTY,272.0,280.0,15,13,2,0.25,0.25,120.0,119.50254120076481,0.4974587992352053,1.0,1.0,0.0,0.0
FLEET/DAILY/PEAK/42,PEAK,274.0,278.0,4,3,1,0.25,0.25,16.0,15.869808549756547,0.13019145024345335,0.9967435187220676,0.99,0.013025925111729748,0.013025925111729748
FLEET/DAILY/DUTY/13,DUTY,296.0,304.0,15,13,2,0.25,0.25,120.0,119.66468077769522,0.3353192223047671,1.0,1.0,0.0,0.0
FLEET/DAILY/PEAK/43,PEAK,298.0,302.0,4,3,1,0.25,0.25,16.0,15.932066001646358,0.0679339983536437,1.0,1.0,0.0,0.0
FLEET/DAILY/DUTY/14,DUTY,320.0,328.0,15,13,2,0.25,0.25,120.0,119.64408866189227,0.3559113381077179,0.9999394986932728,1.0,0.0004840104538175183,0.0004840104538175183
FLEET/DAILY/PEAK/44,PEAK,322.0,326.0,4,3,1,0.25,0.25,16.0,15.905474895816887,0.09452510418311419,0.99906435639193,0.99,0.0037425744322797526,0.0037425744322797526
FLEET/DAILY/DUTY/15,DUTY,344.0,352.0,15,13,2,0.25,0.25,120.0,119.56364458829677,0.4363554117032152,1.0,1.0,0.0,0.0
FLEET/DAILY/PEAK/45,PEAK,346.0,350.0,4,3,1,0.25,0.25,16.0,15.848307933211123,0.1516920667888769,0.9984960919082105,0.99,0.006015632367157764,0.006015632367157764
FLEET/DAILY/DUTY/16,DUTY,368.0,376.0,15,13,2,0.25,0.25,120.0,119.49443030427443,0.5055696957255799,1.0,1.0,0.0,0.0
FLEET/DAILY/PEAK/46,PEAK,370.0,374.0,4,3,1,0.25,0.25,16.0,15.832657229683768,0.1673427703162298,1.0,1.0,0.0,0.0
FLEET/DAILY/DUTY/17,DUTY,392.0,400.0,15,13,2,0.25,0.25,120.0,119.53885278342173,0.46114721657827373,0.9993832021848951,0.99,0.004934382520839335,0.004934382520839335
FLEET/DAILY/PEAK/47,PEAK,394.0,398.0,4,3,1,0.25,0.25,16.0,15.735775433514767,0.26422456648523224,0.9911070062844923,0.98,0.035571974862030516,0.035571974862030516
FLEET/DAILY/DUTY/18,DUTY,416.0,424.0,15,13,2,0.25,0.25,120.0,119.49802850102722,0.5019714989727759,1.0,1.0,0.0,0.0
FLEET/DAILY/PEAK/48,PEAK,418.0,422.0,4,3,1,0.25,0.25,16.0,15.8158909290465,0.18410907095350182,0.99,0.99,0.04,0.04
FLEET/DAILY/DUTY/19,DUTY,440.0,448.0,15,13,2,0.25,0.25,120.0,119.53880621594519,0.46119378405482,1.0,1.0,0.0,0.0
FLEET/DAILY/PEAK/49,PEAK,442.0,446.0,4,3,1,0.25,0.25,16.0,15.813914737646021,0.1860852623539779,0.9926415706459075,0.99,0.029433717416370086,0.029433717416370086
FLEET/DAILY/DUTY/20,DUTY,464.0,472.0,15,13,2,0.25,0.25,120.0,119.70208883707302,0.2979111629269795,1.0,1.0,0.0,0.0
FLEET/DAILY/PEAK/50,PEAK,466.0,470.0,4,3,1,0.25,0.25,16.0,15.908432305737144,0.09156769426285508,1.0,1.0,0.0,0.0
FLEET/DAILY/DUTY/21,DUTY,488.0,496.0,15,13,2,0.25,0.25,120.0,119.44311164336894,0.5568883566310603,1.0,1.0,0.0,0.0
FLEET/DAILY/PEAK/51,PEAK,490.0,494.0,4,3,1,0.25,0.25,16.0,15.820783947449662,0.1792160525503374,1.0,1.0,0.0,0.0
FLEET/DAILY/DUTY/22,DUTY,512.0,520.0,15,13,2,0.25,0.25,120.0,119.6060943982204,0.3939056017795747,1.0,1.0,0.0,0.0
FLEET/DAILY/PEAK/52,PEAK,514.0,518.0,4,3,1,0.25,0.25,16.0,15.909425573280314,0.09057442671968488,1.0,1.0,0.0,0.0
FLEET/DAILY/DUTY/23,DUTY,536.0,544.0,15,13,2,0.25,0.25,120.0,119.4556233747451,0.5443766252548903,1.0,1.0,0.0,0.0
FLEET/DAILY/PEAK/53,PEAK,538.0,542.0,4,3,1,0.25,0.25,16.0,15.833468837124492,0.166531162875508,1.0,1.0,0.0,0.0
FLEET/DAILY/DUTY/24,DUTY,560.0,568.0,15,13,2,0.25,0.25,120.0,119.54339799301052,0.45660200698948755,1.0,1.0,0.0,0.0
FLEET/DAILY/PEAK/54,PEAK,562.0,566.0,4,3,1,0.25,0.25,16.0,15.81637600969264,0.18362399030736015,0.9906854074845279,0.99,0.037258370061888396,0.037258370061888396
FLEET/DAILY/DUTY/25,DUTY,584.0,592.0,15,13,2,0.25,0.25,120.0,119.50211419287709,0.49788580712292285,1.0,1.0,0.0,0.0
FLEET/DAILY/PEAK/55,PEAK,586.0,590.0,4,3,1,0.25,0.25,16.0,15.788778154293642,0.2112218457063591,1.0,1.0,0.0,0.0
FLEET/DAILY/DUTY/26,DUTY,608.0,616.0,15,13,2,0.25,0.25,120.0,119.50182529406798,0.4981747059320219,1.0,1.0,0.0,0.0
FLEET/DAILY/PEAK/56,PEAK,610.0,614.0,4,3,1,0.25,0.25,16.0,15.920272971421623,0.0797270285783759,1.0,1.0,0.0,0.0
FLEET/DAILY/DUTY/27,DUTY,632.0,640.0,15,13,2,0.25,0.25,120.0,119.56380061520355,0.43619938479644815,1.0,1.0,0.0,0.0
FLEET/DAILY/PEAK/57,PEAK,634.0,638.0,4,3,1,0.25,0.25,16.0,15.809590127377392,0.19040987262260842,0.9971550360025379,0.99,0.011379855989848692,0.011379855989848692
FLEET/DAILY/DUTY/28,DUTY,656.0,664.0,15,13,2,0.25,0.25,120.0,119.52595429266371,0.47404570733628704,0.999896497566242,1.0,0.0008280194700637367,0.0008280194700637367
FLEET/DAILY/PEAK/58,PEAK,658.0,662.0,4,3,1,0.25,0.25,16.0,15.90266521088883,0.09733478911116776,1.0,1.0,0.0,0.0
FLEET/DAILY/DUTY/29,DUTY,680.0,688.0,15,13,2,0.25,0.25,120.0,119.488690276727,0.511309723273016,1.0,1.0,0.0,0.0
FLEET/DAILY/PEAK/59,PEAK,682.0,686.0,4,3,1,0.25,0.25,16.0,15.876708049852922,0.12329195014707693,0.9985253619814497,0.98,0.005898552074201007,0.005898552074201007
FLEET/DAILY/DUTY/30,DUTY,704.0,712.0,15,13,2,0.25,0.25,120.0,119.43413375656101,0.5658662434389918,0.9989361348816652,0.99,0.008510920946678198,0.008510920946678198
FLEET/DAILY/PEAK/60,PEAK,706.0,710.0,4,3,1,0.25,0.25,16.0,15.859013856656205,0.1409861433437959,0.9982842788798382,0.99,0.006862884480647154,0.006862884480647154
