replication,success_rate,completed,cancelled,failures,resource_utilization,requested_jobs,completed_jobs,assumed_jobs,waiting_jobs,working_jobs,wait_aircraft_hours,work_aircraft_hours,wait_resource_aircraft_hours,wait_shift_aircraft_hours,daily_assumed_ready_aircraft
1,1.0,9,0,0,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
2,1.0,9,0,0,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
3,0.8888888888888888,8,0,1,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
4,1.0,9,0,0,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
5,0.8888888888888888,8,0,1,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
6,0.8888888888888888,8,0,1,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
7,1.0,9,0,0,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
8,1.0,9,0,0,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
9,0.8888888888888888,8,0,1,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
10,1.0,9,0,0,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
11,0.8888888888888888,8,0,1,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
12,0.8888888888888888,8,0,1,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
13,1.0,9,0,0,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
14,1.0,9,0,0,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
15,1.0,9,0,0,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
16,1.0,9,0,0,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
17,1.0,9,0,0,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
18,1.0,9,0,0,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
19,0.8888888888888888,8,0,1,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
20,1.0,9,0,0,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
21,1.0,9,0,0,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
22,0.8888888888888888,8,0,1,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
23,1.0,9,0,0,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
24,0.8888888888888888,8,0,1,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
25,1.0,9,0,0,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
26,0.7777777777777778,7,0,2,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
27,0.8888888888888888,8,0,1,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
28,1.0,9,0,0,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
29,1.0,9,0,0,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
30,1.0,9,0,0,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
31,1.0,8,0,1,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
32,1.0,8,0,1,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
33,1.0,9,0,0,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
34,1.0,9,0,0,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
35,0.8888888888888888,8,0,1,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
36,0.7777777777777778,7,0,2,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
37,0.8888888888888888,8,0,1,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
38,1.0,9,0,0,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
39,1.0,9,0,0,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
40,1.0,9,0,0,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
41,0.8888888888888888,8,0,1,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
42,1.0,9,0,0,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
43,1.0,9,0,0,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
44,1.0,9,0,0,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
45,0.8888888888888888,8,0,1,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
46,0.7777777777777778,7,0,2,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
47,1.0,9,0,0,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
48,1.0,9,0,0,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
49,1.0,9,0,0,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
50,1.0,9,0,0,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
51,0.8888888888888888,8,0,1,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
52,0.8888888888888888,8,0,1,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
53,0.8888888888888888,8,0,1,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
54,0.8888888888888888,8,0,1,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
55,0.8888888888888888,7,0,2,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
56,0.8888888888888888,7,0,2,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
57,1.0,9,0,0,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
58,0.8888888888888888,8,0,1,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
59,0.8888888888888888,8,0,1,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
60,1.0,9,0,0,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
61,1.0,9,0,0,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
62,1.0,9,0,0,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
63,1.0,9,0,0,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
64,1.0,9,0,0,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
65,1.0,9,0,0,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
66,1.0,9,0,0,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
67,0.8888888888888888,8,0,1,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
68,1.0,9,0,0,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
69,0.8888888888888888,8,0,1,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
70,0.8888888888888888,8,0,1,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
71,0.8888888888888888,8,0,1,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
72,0.7777777777777778,7,0,2,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
73,1.0,9,0,0,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
74,1.0,9,0,0,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
75,0.8888888888888888,8,0,1,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
76,1.0,9,0,0,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
77,1.0,9,0,0,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
78,1.0,9,0,0,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
79,1.0,9,0,0,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
80,0.7777777777777778,7,0,2,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
81,1.0,8,0,1,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
82,0.8888888888888888,8,0,1,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
83,1.0,9,0,0,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
84,0.7777777777777778,7,0,2,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
85,0.8888888888888888,8,0,1,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
86,0.8888888888888888,8,0,1,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
87,1.0,9,0,0,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
88,1.0,9,0,0,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
89,0.8888888888888888,8,0,1,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
90,1.0,9,0,0,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
91,0.8888888888888888,8,0,1,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
92,0.8888888888888888,8,0,1,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
93,1.0,9,0,0,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
94,0.8888888888888888,8,0,1,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
95,1.0,8,0,1,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
96,1.0,9,0,0,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
97,1.0,9,0,0,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
98,1.0,9,0,0,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
99,0.8888888888888888,8,0,1,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
100,0.8888888888888888,8,0,1,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
101,0.8888888888888888,8,0,1,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
102,1.0,9,0,0,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
103,0.8888888888888888,8,0,1,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
104,1.0,9,0,0,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
105,1.0,9,0,0,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
106,0.8888888888888888,8,0,2,0.031249999999999993,18,18,0,0,0,0.0,8.999999999999998,0.0,0.0,36
107,1.0,9,0,0,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
108,1.0,9,0,0,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
109,1.0,9,0,0,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
110,1.0,9,0,0,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
111,1.0,7,0,2,0.029513888888888888,17,17,0,0,0,0.0,8.5,0.0,0.0,36
112,0.8888888888888888,8,0,1,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
113,1.0,8,0,1,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
114,0.8888888888888888,8,0,1,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
115,1.0,9,0,0,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
116,1.0,9,0,0,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
117,0.8888888888888888,8,0,1,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
118,0.8888888888888888,7,0,2,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
119,0.8888888888888888,8,0,1,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
120,1.0,9,0,0,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
121,1.0,9,0,0,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
122,1.0,9,0,0,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
123,1.0,9,0,0,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
124,0.8888888888888888,8,0,1,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
125,1.0,9,0,0,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
126,1.0,9,0,0,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
127,0.8888888888888888,8,0,1,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
128,1.0,9,0,0,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
129,1.0,9,0,0,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
130,0.8888888888888888,8,0,1,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
131,1.0,9,0,0,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
132,0.7777777777777778,7,0,2,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
133,1.0,9,0,0,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
134,1.0,9,0,0,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
135,1.0,9,0,0,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
136,1.0,9,0,0,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
137,1.0,9,0,0,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
138,0.8888888888888888,8,0,1,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
139,0.8888888888888888,8,0,1,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
140,0.8888888888888888,8,0,1,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
141,1.0,9,0,0,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
142,1.0,9,0,0,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
143,0.8888888888888888,8,0,1,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
144,1.0,9,0,0,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
145,0.8888888888888888,8,0,1,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
146,1.0,9,0,0,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
147,0.8888888888888888,8,0,1,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
148,1.0,9,0,0,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
149,0.8888888888888888,8,0,1,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
150,0.8888888888888888,8,0,1,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
