run_id,model_hash,seed,engine,replication,truncated,part,iid,parent,age,lifetime_hours,broken,location,site
aging-PERFECT,a781d2546489e692d824d9b320280ae01571da1e18a2fcd6b85d70c19192b086,20260908,0.9.2,1,False,POWERPLANT#1,POWERPLANT,,23.0,23.0,False,installed,AIRPORT
aging-PERFECT,a781d2546489e692d824d9b320280ae01571da1e18a2fcd6b85d70c19192b086,20260908,0.9.2,1,False,AVIONICS#2,AVIONICS,,23.0,23.0,False,installed,AIRPORT
aging-PERFECT,a781d2546489e692d824d9b320280ae01571da1e18a2fcd6b85d70c19192b086,20260908,0.9.2,1,False,ELECTRICAL#3,ELECTRICAL,,23.0,23.0,False,installed,AIRPORT
aging-PERFECT,a781d2546489e692d824d9b320280ae01571da1e18a2fcd6b85d70c19192b086,20260908,0.9.2,1,False,HYDRAULIC#4,HYDRAULIC,,23.0,23.0,False,installed,AIRPORT
aging-PERFECT,a781d2546489e692d824d9b320280ae01571da1e18a2fcd6b85d70c19192b086,20260908,0.9.2,1,False,POWERPLANT#5,POWERPLANT,,23.0,23.0,False,installed,AIRPORT
aging-PERFECT,a781d2546489e692d824d9b320280ae01571da1e18a2fcd6b85d70c19192b086,20260908,0.9.2,1,False,AVIONICS#6,AVIONICS,,23.0,23.0,False,installed,AIRPORT
aging-PERFECT,a781d2546489e692d824d9b320280ae01571da1e18a2fcd6b85d70c19192b086,20260908,0.9.2,1,False,ELECTRICAL#7,ELECTRICAL,,23.0,23.0,False,installed,AIRPORT
aging-PERFECT,a781d2546489e692d824d9b320280ae01571da1e18a2fcd6b85d70c19192b086,20260908,0.9.2,1,False,HYDRAULIC#8,HYDRAULIC,,23.0,23.0,False,installed,AIRPORT
aging-PERFECT,a781d2546489e692d824d9b320280ae01571da1e18a2fcd6b85d70c19192b086,20260908,0.9.2,1,False,POWERPLANT#9,POWERPLANT,,23.0,23.0,False,installed,AIRPORT
aging-PERFECT,a781d2546489e692d824d9b320280ae01571da1e18a2fcd6b85d70c19192b086,20260908,0.9.2,1,False,AVIONICS#10,AVIONICS,,23.0,23.0,False,installed,AIRPORT
aging-PERFECT,a781d2546489e692d824d9b320280ae01571da1e18a2fcd6b85d70c19192b086,20260908,0.9.2,1,False,ELECTRICAL#11,ELECTRICAL,,23.0,23.0,False,installed,AIRPORT
aging-PERFECT,a781d2546489e692d824d9b320280ae01571da1e18a2fcd6b85d70c19192b086,20260908,0.9.2,1,False,HYDRAULIC#12,HYDRAULIC,,23.0,23.0,False,installed,AIRPORT
aging-PERFECT,a781d2546489e692d824d9b320280ae01571da1e18a2fcd6b85d70c19192b086,20260908,0.9.2,1,False,POWERPLANT#13,POWERPLANT,,23.0,23.0,False,installed,AIRPORT
aging-PERFECT,a781d2546489e692d824d9b320280ae01571da1e18a2fcd6b85d70c19192b086,20260908,0.9.2,1,False,AVIONICS#14,AVIONICS,,23.0,23.0,False,installed,AIRPORT
aging-PERFECT,a781d2546489e692d824d9b320280ae01571da1e18a2fcd6b85d70c19192b086,20260908,0.9.2,1,False,ELECTRICAL#15,ELECTRICAL,,23.0,23.0,False,installed,AIRPORT
aging-PERFECT,a781d2546489e692d824d9b320280ae01571da1e18a2fcd6b85d70c19192b086,20260908,0.9.2,1,False,HYDRAULIC#16,HYDRAULIC,,23.0,23.0,False,installed,AIRPORT
aging-PERFECT,a781d2546489e692d824d9b320280ae01571da1e18a2fcd6b85d70c19192b086,20260908,0.9.2,1,False,POWERPLANT#17,POWERPLANT,,22.244794315331255,22.244794315331255,False,installed,AIRPORT
aging-PERFECT,a781d2546489e692d824d9b320280ae01571da1e18a2fcd6b85d70c19192b086,20260908,0.9.2,1,False,AVIONICS#18,AVIONICS,,22.244794315331255,22.244794315331255,False,installed,AIRPORT
aging-PERFECT,a781d2546489e692d824d9b320280ae01571da1e18a2fcd6b85d70c19192b086,20260908,0.9.2,1,False,ELECTRICAL#19,ELECTRICAL,,0.0,21.744794315331255,False,installed,AIRPORT
aging-PERFECT,a781d2546489e692d824d9b320280ae01571da1e18a2fcd6b85d70c19192b086,20260908,0.9.2,1,False,HYDRAULIC#20,HYDRAULIC,,22.244794315331255,22.244794315331255,False,installed,AIRPORT
aging-PERFECT,a781d2546489e692d824d9b320280ae01571da1e18a2fcd6b85d70c19192b086,20260908,0.9.2,1,False,POWERPLANT#21,POWERPLANT,,22.244794315331255,22.244794315331255,False,installed,AIRPORT
aging-PERFECT,a781d2546489e692d824d9b320280ae01571da1e18a2fcd6b85d70c19192b086,20260908,0.9.2,1,False,AVIONICS#22,AVIONICS,,22.244794315331255,22.244794315331255,False,installed,AIRPORT
aging-PERFECT,a781d2546489e692d824d9b320280ae01571da1e18a2fcd6b85d70c19192b086,20260908,0.9.2,1,False,ELECTRICAL#23,ELECTRICAL,,22.244794315331255,22.244794315331255,False,installed,AIRPORT
aging-PERFECT,a781d2546489e692d824d9b320280ae01571da1e18a2fcd6b85d70c19192b086,20260908,0.9.2,1,False,HYDRAULIC#24,HYDRAULIC,,22.244794315331255,22.244794315331255,False,installed,AIRPORT
aging-PERFECT,a781d2546489e692d824d9b320280ae01571da1e18a2fcd6b85d70c19192b086,20260908,0.9.2,1,False,POWERPLANT#25,POWERPLANT,,20.0,20.0,False,installed,AIRPORT
aging-PERFECT,a781d2546489e692d824d9b320280ae01571da1e18a2fcd6b85d70c19192b086,20260908,0.9.2,1,False,AVIONICS#26,AVIONICS,,20.0,20.0,False,installed,AIRPORT
aging-PERFECT,a781d2546489e692d824d9b320280ae01571da1e18a2fcd6b85d70c19192b086,20260908,0.9.2,1,False,ELECTRICAL#27,ELECTRICAL,,20.0,20.0,False,installed,AIRPORT
aging-PERFECT,a781d2546489e692d824d9b320280ae01571da1e18a2fcd6b85d70c19192b086,20260908,0.9.2,1,False,HYDRAULIC#28,HYDRAULIC,,20.0,20.0,False,installed,AIRPORT
aging-PERFECT,a781d2546489e692d824d9b320280ae01571da1e18a2fcd6b85d70c19192b086,20260908,0.9.2,1,False,POWERPLANT#29,POWERPLANT,,20.0,20.0,False,installed,AIRPORT
aging-PERFECT,a781d2546489e692d824d9b320280ae01571da1e18a2fcd6b85d70c19192b086,20260908,0.9.2,1,False,AVIONICS#30,AVIONICS,,20.0,20.0,False,installed,AIRPORT
aging-PERFECT,a781d2546489e692d824d9b320280ae01571da1e18a2fcd6b85d70c19192b086,20260908,0.9.2,1,False,ELECTRICAL#31,ELECTRICAL,,20.0,20.0,False,installed,AIRPORT
aging-PERFECT,a781d2546489e692d824d9b320280ae01571da1e18a2fcd6b85d70c19192b086,20260908,0.9.2,1,False,HYDRAULIC#32,HYDRAULIC,,20.0,20.0,False,installed,AIRPORT
aging-PERFECT,a781d2546489e692d824d9b320280ae01571da1e18a2fcd6b85d70c19192b086,20260908,0.9.2,1,False,POWERPLANT#33,POWERPLANT,,20.0,20.0,False,installed,AIRPORT
aging-PERFECT,a781d2546489e692d824d9b320280ae01571da1e18a2fcd6b85d70c19192b086,20260908,0.9.2,1,False,AVIONICS#34,AVIONICS,,20.0,20.0,False,installed,AIRPORT
aging-PERFECT,a781d2546489e692d824d9b320280ae01571da1e18a2fcd6b85d70c19192b086,20260908,0.9.2,1,False,ELECTRICAL#35,ELECTRICAL,,20.0,20.0,False,installed,AIRPORT
aging-PERFECT,a781d2546489e692d824d9b320280ae01571da1e18a2fcd6b85d70c19192b086,20260908,0.9.2,1,False,HYDRAULIC#36,HYDRAULIC,,20.0,20.0,False,installed,AIRPORT
aging-PERFECT,a781d2546489e692d824d9b320280ae01571da1e18a2fcd6b85d70c19192b086,20260908,0.9.2,1,False,POWERPLANT#37,POWERPLANT,,20.0,20.0,False,installed,AIRPORT
