run_id,model_hash,seed,engine,replication,id,start,end,quantity,demand_hours,supplied_hours,gap_hours,flight_status,members,launched_at,ended_at,landed_at,abort_phase,cancel_reason,launch_readiness,success_fraction,success_point,successful,success_at,success_phase,success_reason,successful_members,out_aircraft_hours,on_station_aircraft_hours,return_aircraft_hours,abort_return_aircraft_hours
calendar-1000,ebed3c3a6b2eadd7a6838f93f0e241685d775f41fadcf10ad17ec31738dbc6fe,20260908,0.9.0,1,FLIGHT_POOL/THREE_DAYS/FLIGHT/1,9.0,12.0,2,6.0,6.0,0.0,completed,"[""AIRCRAFT@FLIGHT_POOL-001"", ""AIRCRAFT@FLIGHT_POOL-002""]",9.0,12.0,12.0,,,,0.8333333333333334,11.5,True,11.5,BACK,success_point_reached,"[""AIRCRAFT@FLIGHT_POOL-001"", ""AIRCRAFT@FLIGHT_POOL-002""]",1.0,4.0,1.0,0.0
calendar-1000,ebed3c3a6b2eadd7a6838f93f0e241685d775f41fadcf10ad17ec31738dbc6fe,20260908,0.9.0,1,FLIGHT_POOL/THREE_DAYS/FLIGHT/2,12.0,15.0,2,6.0,0.0,6.0,cancelled,[],,12.0,,,planned_maintenance,"{""planned_maintenance"": 8, ""waiting_preparation"": 4}",0.8333333333333334,14.5,False,,,cancelled_unready,[],0.0,0.0,0.0,0.0
calendar-1000,ebed3c3a6b2eadd7a6838f93f0e241685d775f41fadcf10ad17ec31738dbc6fe,20260908,0.9.0,1,FLIGHT_POOL/THREE_DAYS/FLIGHT/3,15.0,18.0,2,6.0,0.0,6.0,cancelled,[],,15.0,,,planned_maintenance,"{""planned_maintenance"": 2, ""preparing"": 2, ""waiting_preparation"": 8}",0.8333333333333334,17.5,False,,,cancelled_unready,[],0.0,0.0,0.0,0.0
calendar-1000,ebed3c3a6b2eadd7a6838f93f0e241685d775f41fadcf10ad17ec31738dbc6fe,20260908,0.9.0,1,FLIGHT_POOL/THREE_DAYS/FLIGHT/4,33.0,36.0,2,6.0,6.0,0.0,completed,"[""AIRCRAFT@FLIGHT_POOL-003"", ""AIRCRAFT@FLIGHT_POOL-004""]",33.0,36.0,36.0,,,,0.8333333333333334,35.5,True,35.5,BACK,success_point_reached,"[""AIRCRAFT@FLIGHT_POOL-003"", ""AIRCRAFT@FLIGHT_POOL-004""]",1.0,4.0,1.0,0.0
calendar-1000,ebed3c3a6b2eadd7a6838f93f0e241685d775f41fadcf10ad17ec31738dbc6fe,20260908,0.9.0,1,FLIGHT_POOL/THREE_DAYS/FLIGHT/5,36.0,39.0,2,6.0,0.0,6.0,cancelled,[],,36.0,,,planned_maintenance,"{""waiting_preparation"": 4, ""planned_maintenance"": 8}",0.8333333333333334,38.5,False,,,cancelled_unready,[],0.0,0.0,0.0,0.0
calendar-1000,ebed3c3a6b2eadd7a6838f93f0e241685d775f41fadcf10ad17ec31738dbc6fe,20260908,0.9.0,1,FLIGHT_POOL/THREE_DAYS/FLIGHT/6,39.0,42.0,2,6.0,0.0,6.0,cancelled,[],,39.0,,,planned_maintenance,"{""preparing"": 2, ""planned_maintenance"": 2, ""waiting_preparation"": 8}",0.8333333333333334,41.5,False,,,cancelled_unready,[],0.0,0.0,0.0,0.0
calendar-1000,ebed3c3a6b2eadd7a6838f93f0e241685d775f41fadcf10ad17ec31738dbc6fe,20260908,0.9.0,1,FLIGHT_POOL/THREE_DAYS/FLIGHT/7,57.0,60.0,2,6.0,6.0,0.0,completed,"[""AIRCRAFT@FLIGHT_POOL-005"", ""AIRCRAFT@FLIGHT_POOL-006""]",57.0,60.0,60.0,,,,0.8333333333333334,59.5,True,59.5,BACK,success_point_reached,"[""AIRCRAFT@FLIGHT_POOL-005"", ""AIRCRAFT@FLIGHT_POOL-006""]",1.0,4.0,1.0,0.0
calendar-1000,ebed3c3a6b2eadd7a6838f93f0e241685d775f41fadcf10ad17ec31738dbc6fe,20260908,0.9.0,1,FLIGHT_POOL/THREE_DAYS/FLIGHT/8,60.0,63.0,2,6.0,0.0,6.0,cancelled,[],,60.0,,,planned_maintenance,"{""waiting_preparation"": 4, ""planned_maintenance"": 8}",0.8333333333333334,62.5,False,,,cancelled_unready,[],0.0,0.0,0.0,0.0
calendar-1000,ebed3c3a6b2eadd7a6838f93f0e241685d775f41fadcf10ad17ec31738dbc6fe,20260908,0.9.0,1,FLIGHT_POOL/THREE_DAYS/FLIGHT/9,63.0,66.0,2,6.0,0.0,6.0,cancelled,[],,63.0,,,planned_maintenance,"{""preparing"": 2, ""waiting_preparation"": 8, ""planned_maintenance"": 2}",0.8333333333333334,65.5,False,,,cancelled_unready,[],0.0,0.0,0.0,0.0
calendar-1000,ebed3c3a6b2eadd7a6838f93f0e241685d775f41fadcf10ad17ec31738dbc6fe,20260908,0.9.0,2,FLIGHT_POOL/THREE_DAYS/FLIGHT/1,9.0,12.0,2,6.0,6.0,0.0,completed,"[""AIRCRAFT@FLIGHT_POOL-001"", ""AIRCRAFT@FLIGHT_POOL-002""]",9.0,12.0,12.0,,,,0.8333333333333334,11.5,True,11.5,BACK,success_point_reached,"[""AIRCRAFT@FLIGHT_POOL-001"", ""AIRCRAFT@FLIGHT_POOL-002""]",1.0,4.0,1.0,0.0
calendar-1000,ebed3c3a6b2eadd7a6838f93f0e241685d775f41fadcf10ad17ec31738dbc6fe,20260908,0.9.0,2,FLIGHT_POOL/THREE_DAYS/FLIGHT/2,12.0,15.0,2,6.0,0.0,6.0,cancelled,[],,12.0,,,planned_maintenance,"{""planned_maintenance"": 8, ""waiting_preparation"": 4}",0.8333333333333334,14.5,False,,,cancelled_unready,[],0.0,0.0,0.0,0.0
calendar-1000,ebed3c3a6b2eadd7a6838f93f0e241685d775f41fadcf10ad17ec31738dbc6fe,20260908,0.9.0,2,FLIGHT_POOL/THREE_DAYS/FLIGHT/3,15.0,18.0,2,6.0,0.0,6.0,cancelled,[],,15.0,,,planned_maintenance,"{""planned_maintenance"": 2, ""preparing"": 2, ""waiting_preparation"": 8}",0.8333333333333334,17.5,False,,,cancelled_unready,[],0.0,0.0,0.0,0.0
calendar-1000,ebed3c3a6b2eadd7a6838f93f0e241685d775f41fadcf10ad17ec31738dbc6fe,20260908,0.9.0,2,FLIGHT_POOL/THREE_DAYS/FLIGHT/4,33.0,36.0,2,6.0,6.0,0.0,completed,"[""AIRCRAFT@FLIGHT_POOL-003"", ""AIRCRAFT@FLIGHT_POOL-004""]",33.0,36.0,36.0,,,,0.8333333333333334,35.5,True,35.5,BACK,success_point_reached,"[""AIRCRAFT@FLIGHT_POOL-003"", ""AIRCRAFT@FLIGHT_POOL-004""]",1.0,4.0,1.0,0.0
calendar-1000,ebed3c3a6b2eadd7a6838f93f0e241685d775f41fadcf10ad17ec31738dbc6fe,20260908,0.9.0,2,FLIGHT_POOL/THREE_DAYS/FLIGHT/5,36.0,39.0,2,6.0,0.0,6.0,cancelled,[],,36.0,,,planned_maintenance,"{""waiting_preparation"": 4, ""planned_maintenance"": 8}",0.8333333333333334,38.5,False,,,cancelled_unready,[],0.0,0.0,0.0,0.0
calendar-1000,ebed3c3a6b2eadd7a6838f93f0e241685d775f41fadcf10ad17ec31738dbc6fe,20260908,0.9.0,2,FLIGHT_POOL/THREE_DAYS/FLIGHT/6,39.0,42.0,2,6.0,0.0,6.0,cancelled,[],,39.0,,,planned_maintenance,"{""preparing"": 2, ""planned_maintenance"": 2, ""waiting_preparation"": 8}",0.8333333333333334,41.5,False,,,cancelled_unready,[],0.0,0.0,0.0,0.0
calendar-1000,ebed3c3a6b2eadd7a6838f93f0e241685d775f41fadcf10ad17ec31738dbc6fe,20260908,0.9.0,2,FLIGHT_POOL/THREE_DAYS/FLIGHT/7,57.0,60.0,2,6.0,6.0,0.0,completed,"[""AIRCRAFT@FLIGHT_POOL-005"", ""AIRCRAFT@FLIGHT_POOL-006""]",57.0,60.0,60.0,,,,0.8333333333333334,59.5,True,59.5,BACK,success_point_reached,"[""AIRCRAFT@FLIGHT_POOL-005"", ""AIRCRAFT@FLIGHT_POOL-006""]",1.0,4.0,1.0,0.0
calendar-1000,ebed3c3a6b2eadd7a6838f93f0e241685d775f41fadcf10ad17ec31738dbc6fe,20260908,0.9.0,2,FLIGHT_POOL/THREE_DAYS/FLIGHT/8,60.0,63.0,2,6.0,0.0,6.0,cancelled,[],,60.0,,,planned_maintenance,"{""waiting_preparation"": 4, ""planned_maintenance"": 8}",0.8333333333333334,62.5,False,,,cancelled_unready,[],0.0,0.0,0.0,0.0
calendar-1000,ebed3c3a6b2eadd7a6838f93f0e241685d775f41fadcf10ad17ec31738dbc6fe,20260908,0.9.0,2,FLIGHT_POOL/THREE_DAYS/FLIGHT/9,63.0,66.0,2,6.0,0.0,6.0,cancelled,[],,63.0,,,planned_maintenance,"{""preparing"": 2, ""waiting_preparation"": 8, ""planned_maintenance"": 2}",0.8333333333333334,65.5,False,,,cancelled_unready,[],0.0,0.0,0.0,0.0
calendar-1000,ebed3c3a6b2eadd7a6838f93f0e241685d775f41fadcf10ad17ec31738dbc6fe,20260908,0.9.0,3,FLIGHT_POOL/THREE_DAYS/FLIGHT/1,9.0,12.0,2,6.0,6.0,0.0,completed,"[""AIRCRAFT@FLIGHT_POOL-001"", ""AIRCRAFT@FLIGHT_POOL-002""]",9.0,12.0,12.0,,,,0.8333333333333334,11.5,True,11.5,BACK,success_point_reached,"[""AIRCRAFT@FLIGHT_POOL-001"", ""AIRCRAFT@FLIGHT_POOL-002""]",1.0,4.0,1.0,0.0
calendar-1000,ebed3c3a6b2eadd7a6838f93f0e241685d775f41fadcf10ad17ec31738dbc6fe,20260908,0.9.0,3,FLIGHT_POOL/THREE_DAYS/FLIGHT/2,12.0,15.0,2,6.0,0.0,6.0,cancelled,[],,12.0,,,planned_maintenance,"{""planned_maintenance"": 8, ""waiting_preparation"": 4}",0.8333333333333334,14.5,False,,,cancelled_unready,[],0.0,0.0,0.0,0.0
calendar-1000,ebed3c3a6b2eadd7a6838f93f0e241685d775f41fadcf10ad17ec31738dbc6fe,20260908,0.9.0,3,FLIGHT_POOL/THREE_DAYS/FLIGHT/3,15.0,18.0,2,6.0,0.0,6.0,cancelled,[],,15.0,,,planned_maintenance,"{""planned_maintenance"": 2, ""preparing"": 2, ""waiting_preparation"": 8}",0.8333333333333334,17.5,False,,,cancelled_unready,[],0.0,0.0,0.0,0.0
